,Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
53, Zac,6,0,7,-,4.0,2.0,67.0,3.9,33:31:00,4.5,263.0,-6.8,6.666666666666667
54, Gnar,4,1,6,10,3.0,1.0,75.0,5.2,33:48:00,8.9,449.0,17.5,5.555555555555555
55, Maokai,4,1,6,10,3.0,1.0,75.0,5.8,32:19:00,6.4,364.0,-21.8,5.555555555555555
56, Kled,2,2,4,9.5,1.0,1.0,50.0,3,33:30:00,7.4,500.0,6.5,4.444444444444445
57, Jayce,2,2,4,8.5,1.0,1.0,50.0,4.3,37:01:00,8.1,593.0,-28.0,4.444444444444445
58, Orianna,3,1,4,10,0.0,3.0,0.0,1.8,28:59:00,8.1,405.0,12.7,4.444444444444445
59, Draven,3,1,4,6,0.0,3.0,0.0,3.3,34:57:00,9.6,494.0,13.7,4.444444444444445
60, Veigar,2,2,4,8,1.0,1.0,50.0,3.8,29:57:00,8.0,521.0,-7.0,4.444444444444445
61, Blitzcrank,2,2,4,10,0.0,2.0,0.0,0.5,34:16:00,0.9,93.0,-3.5,4.444444444444445
62, Galio,3,1,4,7,1.0,2.0,33.0,1.3,31:51:00,4.5,261.0,-22.3,4.444444444444445
63, Lissandra,2,2,4,9,1.0,1.0,50.0,2.8,36:44:00,9.0,392.0,3.5,4.444444444444445
64, Bard,3,1,4,10,3.0,0.0,100.0,8.2,26:37:00,2.9,271.0,-8.0,4.444444444444445
65, Ziggs,3,1,4,5,1.0,2.0,33.0,3.3,29:54:00,8.3,729.0,-3.7,4.444444444444445
66, Pyke,2,1,3,10,0.0,2.0,0.0,1.7,35:13:00,1.1,83.0,9.0,3.3333333333333335
67, Trundle,2,1,3,7,1.0,1.0,50.0,4,34:34:00,5.9,130.0,-4.5,3.3333333333333335
68, Jax,1,2,3,9,1.0,0.0,100.0,15,27:37:00,8.7,629.0,23.0,3.3333333333333335
69, Morgana,1,2,3,7.5,0.0,1.0,0.0,3.5,40:41:00,6.1,260.0,-32.0,3.3333333333333335
70, Karma,2,1,3,9,0.0,2.0,0.0,1,35:29:00,3.7,273.0,7.0,3.3333333333333335
71, Sion,2,0,2,-,1.0,1.0,50.0,2.4,39:51:00,8.5,425.0,18.0,2.2222222222222223
72, Nocturne,2,0,2,-,0.0,2.0,0.0,0.8,21:02,5.2,276.0,-27.5,2.2222222222222223
73, Kennen,1,1,2,7,0.0,1.0,0.0,0.5,26:01:00,6.0,467.0,-27.0,2.2222222222222223
74, Chogath,2,0,2,-,1.0,1.0,50.0,2.8,31:52:00,7.7,171.0,7.5,2.2222222222222223
75, Swain,2,0,2,-,1.0,1.0,50.0,3,33:55:00,3.3,468.0,-3.0,2.2222222222222223
76, Illaoi,0,1,1,9,,,,,0:00,,,,1.1111111111111112
77, Shyvana,1,0,1,-,1.0,0.0,100.0,-,25:15:00,7.1,748.0,12.0,1.1111111111111112
78, Jhin,1,0,1,-,0.0,1.0,0.0,8.5,41:50:00,9.8,727.0,-14.0,1.1111111111111112
79, Annie,1,0,1,-,0.0,1.0,0.0,1.3,25:15:00,2.1,456.0,-3.0,1.1111111111111112
80, Quinn,1,0,1,-,0.0,1.0,0.0,0.8,25:15:00,4.2,436.0,-29.0,1.1111111111111112
81, Kayle,0,1,1,7,,,,,0:00,,,,1.1111111111111112
82, Rengar,1,0,1,-,1.0,0.0,100.0,3.3,29:11:00,7.1,394.0,21.0,1.1111111111111112
83, VelKoz,1,0,1,-,1.0,0.0,100.0,4,50:49:00,8.1,675.0,-2.0,1.1111111111111112
84, Zed,1,0,1,-,1.0,0.0,100.0,2,25:15:00,5.9,509.0,16.0,1.1111111111111112
85, Riven,0,1,1,2,,,,,0:00,,,,1.1111111111111112
86, Graves,1,0,1,-,0.0,1.0,0.0,1.6,41:50:00,9.7,738.0,45.0,1.1111111111111112
87, Malphite,1,0,1,-,0.0,1.0,0.0,0.7,22:02,5.2,202.0,-53.0,1.1111111111111112
88, Zyra,0,1,1,10,,,,,0:00,,,,1.1111111111111112
89, Shen,1,0,1,-,0.0,1.0,0.0,1.1,41:50:00,5.7,338.0,-40.0,1.1111111111111112
90, Kindred,1,0,1,-,1.0,0.0,100.0,4.5,31:34:00,6.5,400.0,12.0,1.1111111111111112
91, Janna,1,0,1,-,1.0,0.0,100.0,9,34:40:00,2.8,236.0,-60.0,1.1111111111111112
92, Poppy,1,0,1,-,0.0,1.0,0.0,2,45:55:00,8.0,397.0,-31.0,1.1111111111111112
93, Teemo,1,0,1,-,0.0,1.0,0.0,0.7,25:15:00,8.0,795.0,37.0,1.1111111111111112
94, Ivern,0,1,1,9,,,,,0:00,,,,1.1111111111111112
95, Evelynn,1,0,1,-,0.0,1.0,0.0,3.4,41:50:00,4.9,1084.0,25.0,1.1111111111111112
96, Singed,1,0,1,-,1.0,0.0,100.0,6,29:30:00,8.7,499.0,5.0,1.1111111111111112
97, Heimerdinger,0,1,1,3,,,,,0:00,,,,1.1111111111111112
98, Neeko,1,0,1,-,1.0,0.0,100.0,3.8,22:02,7.9,612.0,53.0,1.1111111111111112
99, Nidalee,1,0,1,-,1.0,0.0,100.0,-,37:43:00,6.2,605.0,35.0,1.1111111111111112
100, Sona,1,0,1,-,0.0,1.0,0.0,1.3,29:33:00,3.1,417.0,-96.0,1.1111111111111112
101, Nasus,0,1,1,7,,,,,0:00,,,,1.1111111111111112
102, Urgot,1,0,1,-,1.0,0.0,100.0,3,29:40:00,8.3,462.0,-2.0,1.1111111111111112
103, Lulu,1,0,1,-,1.0,0.0,100.0,11,36:24:00,7.8,343.0,1.0,1.1111111111111112
104, Tryndamere,0,1,1,6,,,,,0:00,,,,1.1111111111111112
105, Kassadin,1,0,1,-,0.0,1.0,0.0,1.3,33:35:00,8.0,398.0,3.0,1.1111111111111112
106, Vayne,1,0,1,-,0.0,1.0,0.0,0.6,29:39:00,7.9,440.0,16.0,1.1111111111111112
107, Udyr,0,0,0,-,,,,,0:00,,,,0.0
108, Jinx,0,0,0,-,,,,,0:00,,,,0.0
109, Aurelion Sol,0,0,0,-,,,,,0:00,,,,0.0
110, Darius,0,0,0,-,,,,,0:00,,,,0.0
111, Rammus,0,0,0,-,,,,,0:00,,,,0.0
112, Volibear,0,0,0,-,,,,,0:00,,,,0.0
113, Ahri,0,0,0,-,,,,,0:00,,,,0.0
114, KhaZix,0,0,0,-,,,,,0:00,,,,0.0
115, Fiddlesticks,0,0,0,-,,,,,0:00,,,,0.0
116, Sivir,0,0,0,-,,,,,0:00,,,,0.0
117, Wukong,0,0,0,-,,,,,0:00,,,,0.0
118, Amumu,0,0,0,-,,,,,0:00,,,,0.0
119, Lux,0,0,0,-,,,,,0:00,,,,0.0
120, Fizz,0,0,0,-,,,,,0:00,,,,0.0
121, Talon,0,0,0,-,,,,,0:00,,,,0.0
122, Xin Zhao,0,0,0,-,,,,,0:00,,,,0.0
123, Ashe,0,0,0,-,,,,,0:00,,,,0.0
124, Master Yi,0,0,0,-,,,,,0:00,,,,0.0
125, Twitch,0,0,0,-,,,,,0:00,,,,0.0
126, Hecarim,0,0,0,-,,,,,0:00,,,,0.0
127, Zilean,0,0,0,-,,,,,0:00,,,,0.0
128, Caitlyn,0,0,0,-,,,,,0:00,,,,0.0
129, Nunu,0,0,0,-,,,,,0:00,,,,0.0
130, Vi,0,0,0,-,,,,,0:00,,,,0.0
131, Katarina,0,0,0,-,,,,,0:00,,,,0.0
132, Kayn,0,0,0,-,,,,,0:00,,,,0.0
133, Dr. Mundo,0,0,0,-,,,,,0:00,,,,0.0
134, Shaco,0,0,0,-,,,,,0:00,,,,0.0
135, Warwick,0,0,0,-,,,,,0:00,,,,0.0
136, Alistar,0,0,0,-,,,,,0:00,,,,0.0
137, KogMaw,0,0,0,-,,,,,0:00,,,,0.0
138, Fiora,0,0,0,-,,,,,0:00,,,,0.0
139, Skarner,0,0,0,-,,,,,0:00,,,,0.0
140, Xerath,0,0,0,-,,,,,0:00,,,,0.0
141, Anivia,0,0,0,-,,,,,0:00,,,,0.0
142, Malzahar,0,0,0,-,,,,,0:00,,,,0.0
143, Garen,0,0,0,-,,,,,0:00,,,,0.0
144, Twisted Fate,0,0,0,-,,,,,0:00,,,,0.0
145, Yorick,0,0,0,-,,,,,0:00,,,,0.0
146, Brand,0,0,0,-,,,,,0:00,,,,0.0
147, Nami,0,0,0,-,,,,,0:00,,,,0.0
