,Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
52, Cassiopeia,14,4,8,8.8,5.0,9.0,36.0,2.2,31:41:00,8.7,371.0,-1.9,8.071748878923767
53, Kassadin,6,12,8,8.3,2.0,4.0,33.0,4.3,32:03:00,9.4,422.0,-8.7,8.071748878923767
54, Viktor,14,4,8,9,5.0,9.0,36.0,2.6,36:28:00,9.2,564.0,8.4,8.071748878923767
55, Gangplank,10,7,8,8.6,9.0,1.0,90.0,5.1,35:18:00,8.3,651.0,-11.0,7.623318385650224
56, Volibear,5,10,7,7.7,3.0,2.0,60.0,2.6,35:29:00,2.7,188.0,11.6,6.726457399103139
57, Kindred,5,9,6,8.8,2.0,3.0,40.0,2.8,30:27:00,6.2,308.0,5.8,6.278026905829597
58, Alistar,13,1,6,10,8.0,5.0,62.0,4.7,33:22:00,0.9,104.0,1.8,6.278026905829597
59, Orianna,10,3,6,9,3.0,7.0,30.0,3.6,35:03:00,8.8,362.0,7.5,5.829596412556054
60, Camille,8,5,6,8.6,3.0,5.0,38.0,2.3,32:36:00,8.6,388.0,-7.5,5.829596412556054
61, Maokai,7,5,5,8.4,2.0,5.0,29.0,1.4,28:47:00,7.3,375.0,-8.4,5.381165919282512
62, Yasuo,2,10,5,8,1.0,1.0,50.0,3.3,34:58:00,8.7,200.0,-7.0,5.381165919282512
63, Karthus,6,6,5,7.3,2.0,4.0,33.0,1.9,33:04:00,7.1,490.0,11.0,5.381165919282512
64, Quinn,3,8,5,8.5,1.0,2.0,33.0,1.7,33:34:00,9.5,470.0,20.3,4.932735426008969
65, Diana,6,4,4,4.5,3.0,3.0,50.0,2.9,33:03:00,6.7,299.0,4.2,4.484304932735426
66, Ryze,6,4,4,9,3.0,3.0,50.0,4.4,33:31:00,9.7,519.0,18.5,4.484304932735426
67, Corki,5,4,4,6.3,2.0,3.0,40.0,3.1,32:04:00,10.1,571.0,7.4,4.0358744394618835
68, Ashe,5,3,4,7.7,2.0,3.0,40.0,2.3,34:36:00,9.4,553.0,0.8,3.587443946188341
69, Pyke,6,2,4,8,3.0,3.0,50.0,3.2,33:16:00,1.6,140.0,2.2,3.587443946188341
70, Bard,7,1,4,10,4.0,3.0,57.0,6.1,35:55:00,1.0,172.0,-5.1,3.587443946188341
71, Nocturne,3,5,4,8.8,3.0,0.0,100.0,4.8,34:37:00,6.4,225.0,18.0,3.587443946188341
72, Shen,4,3,3,8.7,2.0,2.0,50.0,3.3,33:07:00,3.1,128.0,2.0,3.1390134529147984
73, Caitlyn,6,1,3,7,3.0,3.0,50.0,3.7,37:08:00,10.2,600.0,9.7,3.1390134529147984
74, Ziggs,6,1,3,6,1.0,5.0,17.0,2.0,33:30:00,9.7,746.0,17.5,3.1390134529147984
75, Kayle,4,2,3,7,3.0,1.0,75.0,5.9,38:11:00,9.9,633.0,1.5,2.690582959641256
76, Lissandra,3,2,2,9.5,1.0,2.0,33.0,2.3,34:18:00,7.9,447.0,-4.7,2.242152466367713
77, VelKoz,3,2,2,9.5,3.0,0.0,100.0,11.3,34:22:00,7.8,554.0,5.3,2.242152466367713
78, Nidalee,2,2,2,9,1.0,1.0,50.0,4.0,33:49:00,6.9,338.0,15.5,1.7937219730941705
79, Sivir,1,3,2,8.3,0.0,1.0,0.0,0.7,28:13:00,8.6,270.0,-33.0,1.7937219730941705
80, Lulu,4,0,2,-,2.0,2.0,50.0,7.8,35:31:00,0.9,83.0,-0.5,1.7937219730941705
81, Poppy,2,2,2,8,0.0,2.0,0.0,0.6,34:56:00,5.1,246.0,-17.5,1.7937219730941705
82, Sion,3,0,1,-,2.0,1.0,67.0,2.6,29:05:00,6.5,341.0,-26.3,1.345291479820628
83, Kled,1,2,1,9,0.0,1.0,0.0,1.0,31:01:00,8.1,226.0,-30.0,1.345291479820628
84, Neeko,3,0,1,-,2.0,1.0,67.0,6.3,27:45:00,9.5,380.0,6.3,1.345291479820628
85, Vayne,3,0,1,-,1.0,2.0,33.0,5.0,32:26:00,8.6,367.0,-14.7,1.345291479820628
86, Vladimir,2,0,1,-,1.0,1.0,50.0,1.3,34:29:00,9.1,450.0,-7.0,0.8968609865470852
87, KogMaw,1,1,1,5,0.0,1.0,0.0,2.2,54:36:00,10.1,1219.0,5.0,0.8968609865470852
88, Tristana,2,0,1,-,2.0,0.0,100.0,9.0,37:12:00,9.5,266.0,-4.5,0.8968609865470852
89, Brand,2,0,1,-,0.0,2.0,0.0,1.2,27:08:00,0.7,389.0,-4.0,0.8968609865470852
90, Tryndamere,1,1,1,10,0.0,1.0,0.0,0.0,24:17:00,10.5,141.0,8.0,0.8968609865470852
91, Zac,1,1,1,7,0.0,1.0,0.0,0.7,36:12:00,5.4,123.0,-8.0,0.8968609865470852
92, Graves,2,0,1,-,1.0,1.0,50.0,10.0,30:51:00,8.4,431.0,19.0,0.8968609865470852
93, Janna,1,1,1,10,0.0,1.0,0.0,2.0,28:01:00,0.6,160.0,-11.0,0.8968609865470852
94, Nami,2,0,1,-,0.0,2.0,0.0,0.6,30:49:00,0.8,102.0,-7.5,0.8968609865470852
95, Lux,1,0,0,-,0.0,1.0,0.0,0.3,30:55:00,0.9,111.0,-10.0,0.4484304932735426
96, Xin Zhao,1,0,0,-,0.0,1.0,0.0,0.8,34:01:00,4.5,278.0,-27.0,0.4484304932735426
97, Ivern,1,0,0,-,0.0,1.0,0.0,0.0,32:28:00,5.5,116.0,7.0,0.4484304932735426
98, Malphite,0,1,0,10,,,,,0:00,,,,0.4484304932735426
99, Darius,1,0,0,-,0.0,1.0,0.0,1.0,24:47:00,7.1,239.0,3.0,0.4484304932735426
100, Anivia,1,0,0,-,0.0,1.0,0.0,0.3,26:09:00,9.0,241.0,-17.0,0.4484304932735426
101, Jax,1,0,0,-,0.0,1.0,0.0,0.8,40:07:00,8.6,385.0,-7.0,0.4484304932735426
102, Jinx,1,0,0,-,0.0,1.0,0.0,2.3,33:29:00,10.5,309.0,-15.0,0.4484304932735426
103, Fiora,0,1,0,10,,,,,0:00,,,,0.4484304932735426
104, Twitch,1,0,0,-,0.0,1.0,0.0,0.5,25:12:00,6.7,330.0,-41.0,0.4484304932735426
105, Rammus,0,0,0,-,,,,,0:00,,,,0.0
106, Warwick,0,0,0,-,,,,,0:00,,,,0.0
107, Annie,0,0,0,-,,,,,0:00,,,,0.0
108, Talon,0,0,0,-,,,,,0:00,,,,0.0
109, Heimerdinger,0,0,0,-,,,,,0:00,,,,0.0
110, Riven,0,0,0,-,,,,,0:00,,,,0.0
111, Xerath,0,0,0,-,,,,,0:00,,,,0.0
112, Dr. Mundo,0,0,0,-,,,,,0:00,,,,0.0
113, Twisted Fate,0,0,0,-,,,,,0:00,,,,0.0
114, KhaZix,0,0,0,-,,,,,0:00,,,,0.0
115, Shyvana,0,0,0,-,,,,,0:00,,,,0.0
