Champion,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y
 Akali,6,31,17,4.0,2.0,67.0,3.9,4.5,31:54:00,8.0,549.0,390.0,3.7,177.0,202.0,17.209302325581397,0,0,0,,,,,-,0:00,,,,,,,0.0,5,50,18,2.0,3.0,40.0,3.8,3.7,30:14:00,7.7,397.0,375.0,-2.6,102.0,-229.0,17.973856209150327,1,5,7,1.0,0.0,100.0,3.3,4.8,37:00:00,7.0,387.0,354.0,2.0,-3.0,745.0,6.666666666666667
 Nautilus,25,12,17,14.0,11.0,56.0,2.6,8.6,32:28:00,1.5,144.0,239.0,-1.2,-404.0,-185.0,17.209302325581397,15,4,21,9.0,6.0,60.0,4.1,8.3,31:58:00,1.2,140.0,232.0,0.2,-77.0,-72.0,21.11111111111111,31,10,13,7.0,24.0,23.0,1.6,8.7,30:18:00,1.2,140.0,221.0,-0.2,-157.0,-176.0,13.398692810457517,9,5,16,5.0,4.0,56.0,2.1,8.8,34:45:00,1.1,160.0,234.0,-1.4,-71.0,78.0,15.555555555555555
 Gangplank,15,15,14,5.0,10.0,33.0,3.4,9.1,35:17:00,8.7,664.0,442.0,-5.0,344.0,-233.0,13.953488372093023,18,26,49,6.0,12.0,33.0,2,7.3,35:03:00,8.1,580.0,403.0,8.7,319.0,-89.0,48.888888888888886,26,23,16,16.0,10.0,62.0,3.5,8,30:05:00,8.6,618.0,444.0,7.9,668.0,199.0,16.013071895424837,7,13,22,5.0,2.0,71.0,3.5,7.6,35:32:00,8.4,653.0,428.0,-0.6,377.0,28.0,22.22222222222222
 Ezreal,15,14,13,11.0,4.0,73.0,5.1,7.5,30:56:00,9.6,644.0,443.0,7.9,61.0,2.0,13.488372093023257,5,5,11,3.0,2.0,60.0,3.9,8.4,32:48:00,9.0,735.0,418.0,4.0,294.0,157.0,11.11111111111111,11,3,5,4.0,7.0,36.0,3.6,8.3,34:14:00,9.2,739.0,420.0,-0.8,233.0,-58.0,4.57516339869281,6,2,9,2.0,4.0,33.0,2.9,8.5,32:57:00,8.9,626.0,390.0,14.0,390.0,284.0,8.88888888888889
 Jinx,17,4,10,11.0,6.0,65.0,5.5,8.3,34:34:00,10.4,606.0,462.0,18.8,785.0,312.0,9.767441860465116,4,2,7,0.0,4.0,0.0,2,7.5,34:28:00,9.5,561.0,394.0,-1.5,-206.0,-333.0,6.666666666666667,30,4,11,19.0,11.0,63.0,5.7,6.5,31:04:00,10.1,634.0,462.0,2.2,-66.0,-31.0,11.11111111111111,1,0,1,0.0,1.0,0.0,3.5,-,31:40:00,10.8,463.0,421.0,7.0,926.0,-202.0,1.1111111111111112
 Kindred,11,9,9,7.0,4.0,64.0,2.5,5.8,31:58:00,7.0,424.0,368.0,1.7,-17.0,-63.0,9.30232558139535,1,2,3,1.0,0.0,100.0,12,8.5,29:54:00,7.8,368.0,431.0,2.0,638.0,126.0,3.3333333333333335,5,6,4,1.0,4.0,20.0,2.1,8.5,28:35:00,5.9,326.0,333.0,-21.8,-1184.0,-1281.0,3.594771241830065,1,0,1,0.0,1.0,0.0,0.8,-,29:42:00,6.3,324.0,358.0,2.0,-587.0,-920.0,1.1111111111111112
 Kennen,6,11,8,3.0,3.0,50.0,2.3,8.9,32:26:00,7.6,494.0,345.0,-3.8,-519.0,-417.0,7.906976744186046,2,0,2,0.0,2.0,0.0,1.4,-,34:05:00,8.1,316.0,366.0,-1.5,-621.0,-772.0,2.2222222222222223,9,4,4,1.0,8.0,11.0,1.4,8.3,32:44:00,7.3,454.0,347.0,2.2,-578.0,-17.0,4.248366013071895,3,1,4,2.0,1.0,67.0,2.7,9,33:12:00,7.4,345.0,336.0,-9.7,-263.0,-461.0,4.444444444444445
 Volibear,11,6,8,6.0,5.0,55.0,2.5,8.5,34:33:00,7.3,347.0,356.0,-11.3,-731.0,-419.0,7.906976744186046,0,0,0,,,,,-,0:00,,,,,,,0.0,5,4,3,0.0,5.0,0.0,1.5,8.3,30:29:00,7.5,324.0,327.0,-15.2,-839.0,-190.0,2.941176470588235,5,3,9,3.0,2.0,60.0,2.6,9.3,30:25:00,7.4,403.0,371.0,-2.2,-108.0,132.0,8.88888888888889
 Tahm Kench,12,4,7,7.0,5.0,58.0,4.3,7.5,31:21:00,4.8,208.0,298.0,-7.9,-340.0,-74.0,7.441860465116279,15,2,19,6.0,9.0,40.0,2.8,8.5,31:50:00,5.1,143.0,301.0,-8.0,-216.0,-342.0,18.88888888888889,7,0,2,2.0,5.0,29.0,2.5,-,28:01:00,4.1,153.0,270.0,-21.1,-960.0,-315.0,2.287581699346405,7,2,10,4.0,3.0,57.0,2.7,7.5,33:34:00,5.2,181.0,292.0,-23.7,-591.0,-727.0,10.0
 Sylas,8,7,7,4.0,4.0,50.0,2.2,9,30:03:00,7.8,400.0,366.0,-5.1,-42.0,162.0,6.976744186046512,5,3,9,4.0,1.0,80.0,6.3,9,31:42:00,8.0,507.0,397.0,-11.8,-190.0,-52.0,8.88888888888889,16,14,10,11.0,5.0,69.0,6.9,7.9,28:34:00,8.4,505.0,402.0,4.7,-135.0,143.0,9.803921568627452,6,5,12,4.0,2.0,67.0,4.6,6.6,32:14:00,8.4,414.0,399.0,-5.7,-804.0,101.0,12.222222222222221
 Quinn,5,9,7,3.0,2.0,60.0,1.9,7.3,35:12:00,8.7,635.0,409.0,0.4,356.0,-312.0,6.511627906976744,1,0,1,0.0,1.0,0.0,9,-,30:21:00,7.6,529.0,382.0,21.0,761.0,418.0,1.1111111111111112,3,5,3,3.0,0.0,100.0,7.7,9.6,29:36:00,9.2,934.0,513.0,11.3,793.0,-17.0,2.6143790849673203,2,0,2,2.0,0.0,100.0,3.8,-,39:56:00,9.0,772.0,463.0,14.5,1174.0,80.0,2.2222222222222223
 Maokai,5,8,6,5.0,0.0,100.0,5.2,6.5,29:58:00,2.4,410.0,282.0,-3.8,198.0,79.0,6.046511627906977,1,0,1,0.0,1.0,0.0,0.7,-,31:02:00,1.5,305.0,212.0,8.0,-2368.0,-173.0,1.1111111111111112,8,2,3,4.0,4.0,50.0,2.2,8,35:12:00,1.1,402.0,221.0,0.1,-80.0,-72.0,3.2679738562091507,0,0,0,,,,,-,0:00,,,,,,,0.0
 Jhin,13,0,6,3.0,10.0,23.0,2.7,-,33:11:00,9.2,397.0,414.0,-5.0,-313.0,-208.0,6.046511627906977,3,1,4,1.0,2.0,33.0,6.3,7,34:41:00,9.2,353.0,401.0,1.0,-238.0,-240.0,4.444444444444445,32,7,13,13.0,19.0,41.0,4,6.4,30:40:00,9.0,404.0,408.0,-2.6,-195.0,-270.0,12.745098039215685,20,1,23,13.0,7.0,65.0,7.6,6,35:13:00,9.6,488.0,431.0,1.1,-140.0,238.0,23.333333333333332
 Jarvan IV,7,4,5,4.0,3.0,57.0,2.7,8,35:46:00,2.0,200.0,259.0,-14.3,-165.0,-495.0,5.116279069767442,3,2,6,2.0,1.0,67.0,4.4,9.5,34:16:00,5.4,236.0,329.0,-14.0,-336.0,-708.0,5.555555555555555,3,1,1,0.0,3.0,0.0,1.4,7,34:12:00,2.2,182.0,244.0,-19.3,-8.0,-562.0,1.3071895424836601,10,1,12,6.0,4.0,60.0,2.8,10,33:00:00,3.7,201.0,293.0,-13.7,-71.0,-280.0,12.222222222222221
 Lulu,5,5,5,3.0,2.0,60.0,2.7,6.6,31:47:00,2.5,175.0,254.0,-14.0,-129.0,-165.0,4.651162790697675,4,2,7,2.0,2.0,50.0,8,6.5,34:10:00,3.0,208.0,264.0,-8.2,-309.0,-167.0,6.666666666666667,2,0,1,1.0,1.0,50.0,1.7,-,33:48:00,6.1,323.0,311.0,-21.0,-1090.0,97.0,0.6535947712418301,3,0,3,1.0,2.0,33.0,2.2,-,36:20:00,2.3,251.0,248.0,-7.3,-253.0,-233.0,3.3333333333333335
 Kayn,6,4,5,3.0,3.0,50.0,1.7,4.3,36:56:00,7.3,383.0,369.0,-1.3,-380.0,-153.0,4.651162790697675,4,1,6,1.0,3.0,25.0,1.5,9,30:26:00,6.7,292.0,345.0,-12.2,-422.0,-934.0,5.555555555555555,8,3,4,4.0,4.0,50.0,2.5,8,30:02:00,6.8,303.0,367.0,-14.5,-168.0,-564.0,3.594771241830065,1,1,2,1.0,0.0,100.0,5.7,10,29:46:00,7.6,561.0,477.0,-2.0,822.0,-114.0,2.2222222222222223
 Skarner,4,5,4,1.0,3.0,25.0,1.4,5.6,30:49:00,4.7,140.0,279.0,-16.2,-1019.0,-1084.0,4.186046511627907,12,3,17,4.0,8.0,33.0,3.1,4.7,34:14:00,5.8,151.0,308.0,-3.9,-347.0,-287.0,16.666666666666664,4,2,2,3.0,1.0,75.0,4.6,7,29:43:00,5.6,135.0,337.0,-25.5,-643.0,-840.0,1.9607843137254901,8,14,24,5.0,3.0,63.0,4.7,3.8,32:40:00,4.9,159.0,319.0,-10.9,-238.0,-443.0,24.444444444444443
 Vayne,8,0,4,4.0,4.0,50.0,2.9,-,31:38:00,9.1,357.0,427.0,-6.2,-550.0,-71.0,3.7209302325581395,3,1,4,1.0,2.0,33.0,3,9,30:12:00,8.5,397.0,398.0,-16.7,-1239.0,-293.0,4.444444444444445,20,10,10,7.0,13.0,35.0,2,8.7,30:27:00,8.8,399.0,404.0,-8.6,-468.0,-246.0,9.803921568627452,5,4,10,3.0,2.0,60.0,4.5,8.8,36:45:00,8.9,369.0,435.0,-20.8,-183.0,-332.0,10.0
 Chogath,6,1,3,3.0,3.0,50.0,3.3,8,29:58:00,7.9,355.0,358.0,-1.0,-233.0,13.0,3.255813953488372,3,0,3,3.0,0.0,100.0,5.8,-,36:45:00,7.1,326.0,387.0,-2.7,117.0,275.0,3.3333333333333335,6,2,3,3.0,3.0,50.0,1.6,8.5,30:15:00,7.2,386.0,357.0,-6.3,-599.0,-380.0,2.6143790849673203,3,2,6,3.0,0.0,100.0,3.6,9,36:06:00,6.7,348.0,355.0,-21.7,-876.0,-402.0,5.555555555555555
 Dr. Mundo,5,2,3,1.0,4.0,20.0,3.1,10,36:16:00,6.9,453.0,366.0,4.8,-236.0,-143.0,3.255813953488372,4,0,4,2.0,2.0,50.0,1.3,-,32:37:00,6.1,218.0,318.0,5.8,192.0,143.0,4.444444444444445,6,2,3,2.0,4.0,33.0,1.8,8.5,26:45:00,6.2,324.0,326.0,-5.2,-247.0,-243.0,2.6143790849673203,4,0,4,1.0,3.0,25.0,2.3,-,30:44:00,7.0,407.0,345.0,9.8,-223.0,124.0,4.444444444444445
 Rumble,4,3,3,2.0,2.0,50.0,3.4,7.3,35:01:00,7.6,610.0,359.0,3.0,411.0,-77.0,3.255813953488372,1,0,1,1.0,0.0,100.0,10,-,29:54:00,6.0,601.0,335.0,-34.0,-1589.0,-530.0,1.1111111111111112,14,5,6,6.0,8.0,43.0,3.5,4.2,31:26:00,7.0,552.0,349.0,-5.8,-248.0,-139.0,6.209150326797386,1,1,2,0.0,1.0,0.0,2.5,9,34:15:00,7.9,553.0,360.0,-13.0,-175.0,-528.0,2.2222222222222223
 Nocturne,2,4,3,0.0,2.0,0.0,1.8,5.3,33:09:00,7.9,319.0,368.0,-5.0,92.0,-74.0,2.7906976744186047,2,3,6,0.0,2.0,0.0,3,8,43:24:00,5.9,292.0,315.0,2.5,-411.0,-38.0,5.555555555555555,12,21,11,7.0,5.0,58.0,4.2,7,28:59:00,8.0,372.0,386.0,-0.3,8.0,-15.0,10.784313725490197,3,0,3,1.0,2.0,33.0,2.3,-,30:35:00,8.9,313.0,432.0,-2.0,-87.0,-72.0,3.3333333333333335
 Shen,4,1,2,1.0,3.0,25.0,2.2,10,31:33:00,2.6,178.0,255.0,-5.0,-110.0,166.0,2.3255813953488373,8,8,18,6.0,2.0,75.0,5.7,8.3,34:16:00,7.5,386.0,389.0,3.9,190.0,597.0,17.77777777777778,4,0,1,2.0,2.0,50.0,3,-,31:01:00,3.1,152.0,271.0,0.2,98.0,493.0,1.3071895424836601,5,2,8,2.0,3.0,40.0,6.4,7,32:52:00,6.9,282.0,341.0,-4.2,-17.0,127.0,7.777777777777778
 Varus,4,1,2,3.0,1.0,75.0,5.8,9,33:51:00,8.3,848.0,394.0,1.2,-320.0,-136.0,2.3255813953488373,1,1,2,1.0,0.0,100.0,4,9,44:59:00,6.3,907.0,343.0,37.0,1013.0,311.0,2.2222222222222223,10,9,6,7.0,3.0,70.0,5.2,7.7,31:10:00,9.1,676.0,438.0,4.6,150.0,298.0,6.209150326797386,0,0,0,,,,,-,0:00,,,,,,,0.0
 Lee Sin,4,0,2,1.0,3.0,25.0,3.4,-,31:15:00,5.9,202.0,323.0,-22.5,-688.0,-972.0,1.8604651162790697,0,0,0,,,,,-,0:00,,,,,,,0.0,5,2,2,3.0,2.0,60.0,6,8,28:36:00,5.6,269.0,351.0,-28.6,-822.0,-1366.0,2.287581699346405,0,0,0,,,,,-,0:00,,,,,,,0.0
 Miss Fortune,3,1,2,1.0,2.0,33.0,1.9,9,34:22:00,9.1,425.0,400.0,0.0,-461.0,238.0,1.8604651162790697,5,2,8,4.0,1.0,80.0,5.4,8.5,31:06:00,8.9,419.0,434.0,6.6,356.0,230.0,7.777777777777778,17,7,8,8.0,9.0,47.0,4.6,9,32:26:00,9.8,502.0,428.0,-1.0,6.0,-25.0,7.8431372549019605,4,6,11,0.0,4.0,0.0,2.8,8.3,34:38:00,9.1,407.0,394.0,-11.0,-178.0,-892.0,11.11111111111111
 Mordekaiser,4,0,2,2.0,2.0,50.0,1.9,-,30:37:00,7.5,425.0,362.0,-17.5,-1354.0,-517.0,1.8604651162790697,1,0,1,1.0,0.0,100.0,3.3,-,38:28:00,7.4,571.0,424.0,-12.0,-263.0,359.0,1.1111111111111112,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Ryze,4,0,2,1.0,3.0,25.0,2.4,-,28:04:00,10.1,384.0,414.0,15.0,216.0,316.0,1.8604651162790697,5,7,13,3.0,2.0,60.0,3,8.9,33:40:00,9.6,591.0,445.0,7.0,-117.0,-41.0,13.333333333333334,24,17,13,13.0,11.0,54.0,3.8,6.3,30:41:00,9.0,425.0,412.0,2.8,8.0,98.0,13.398692810457517,12,8,22,9.0,3.0,75.0,3.6,5.4,31:56:00,9.9,534.0,453.0,19.7,697.0,446.0,22.22222222222222
 Cassiopeia,3,0,1,0.0,3.0,0.0,0.8,-,29:50:00,8.0,379.0,341.0,-5.0,-711.0,-1083.0,1.3953488372093024,0,1,1,,,,,9,0:00,,,,,,,1.1111111111111112,5,7,4,3.0,2.0,60.0,4.5,8.6,28:21:00,8.3,561.0,410.0,9.2,506.0,199.0,3.9215686274509802,0,0,0,,,,,-,0:00,,,,,,,0.0
 Karma,3,0,1,1.0,2.0,33.0,3.3,-,35:57:00,5.0,401.0,285.0,-9.0,-395.0,-537.0,1.3953488372093024,3,3,7,2.0,1.0,67.0,12,8.7,32:29:00,6.8,272.0,335.0,-16.3,-405.0,-65.0,6.666666666666667,7,2,3,3.0,4.0,43.0,2.8,9,29:54:00,4.7,332.0,296.0,-8.3,26.0,-235.0,2.941176470588235,3,1,4,3.0,0.0,100.0,9.7,10,31:18:00,5.1,452.0,333.0,-1.3,-65.0,150.0,4.444444444444445
 Karthus,2,1,1,1.0,1.0,50.0,1.8,9,37:47:00,7.0,779.0,367.0,0.5,169.0,-14.0,1.3953488372093024,0,0,0,,,,,-,0:00,,,,,,,0.0,8,4,4,5.0,3.0,63.0,2.6,7,33:10:00,7.1,679.0,384.0,11.3,-313.0,35.0,3.9215686274509802,1,0,1,1.0,0.0,100.0,8,-,31:49:00,7.8,453.0,373.0,1.0,-91.0,-134.0,1.1111111111111112
 Malphite,2,1,1,1.0,1.0,50.0,1.7,10,31:52:00,6.8,337.0,313.0,-32.0,-1804.0,-622.0,1.3953488372093024,1,1,2,1.0,0.0,100.0,-,10,31:22:00,6.6,271.0,367.0,-25.0,-861.0,-1059.0,2.2222222222222223,5,8,4,0.0,5.0,0.0,1.2,9.5,30:18:00,6.2,332.0,304.0,-31.0,-727.0,-544.0,4.248366013071895,2,5,8,0.0,2.0,0.0,3.2,8.6,30:39:00,6.1,412.0,338.0,-16.5,-227.0,-90.0,7.777777777777778
 Wukong,3,0,1,1.0,2.0,33.0,2.0,-,39:15:00,6.9,327.0,354.0,-22.3,-873.0,-387.0,1.3953488372093024,0,0,0,,,,,-,0:00,,,,,,,0.0,11,7,6,4.0,7.0,36.0,2.1,8.9,29:23:00,6.9,382.0,350.0,-18.9,-798.0,-478.0,5.88235294117647,3,0,3,2.0,1.0,67.0,2,-,33:29:00,6.7,417.0,413.0,10.0,762.0,319.0,3.3333333333333335
 Zilean,3,0,1,2.0,1.0,67.0,11.3,-,30:56:00,8.3,445.0,379.0,16.7,628.0,1327.0,1.3953488372093024,0,0,0,,,,,-,0:00,,,,,,,0.0,1,6,2,0.0,1.0,0.0,0.5,8.2,26:16:00,7.1,378.0,301.0,-16.0,-644.0,-468.0,2.287581699346405,0,0,0,,,,,-,0:00,,,,,,,0.0
 Ekko,0,3,1,,,,,5.7,0:00,,,,,,,1.3953488372093024,2,0,2,2.0,0.0,100.0,7.5,-,35:05:00,9.7,462.0,452.0,2.0,32.0,484.0,2.2222222222222223,2,2,1,0.0,2.0,0.0,4,10,29:08:00,8.9,572.0,411.0,-10.5,128.0,270.0,1.3071895424836601,4,2,7,3.0,1.0,75.0,5.1,9,37:29:00,8.0,427.0,401.0,-12.5,-119.0,-314.0,6.666666666666667
 Pyke,3,0,1,1.0,2.0,33.0,1.9,-,33:54:00,1.4,123.0,254.0,-1.3,-30.0,-527.0,1.3953488372093024,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Neeko,3,0,1,2.0,1.0,67.0,2.9,-,34:10:00,3.6,376.0,299.0,-10.0,442.0,256.0,1.3953488372093024,2,0,2,1.0,1.0,50.0,1.1,-,39:56:00,4.4,365.0,287.0,-20.0,-82.0,-356.0,2.2222222222222223,2,0,1,2.0,0.0,100.0,4.7,-,26:04:00,7.8,662.0,420.0,1.5,296.0,346.0,0.6535947712418301,0,0,0,,,,,-,0:00,,,,,,,0.0
 Corki,2,0,1,1.0,1.0,50.0,3.7,-,32:45:00,10.4,605.0,502.0,11.5,780.0,369.0,0.9302325581395349,3,0,3,0.0,3.0,0.0,0.7,-,33:14:00,8.5,476.0,371.0,-21.7,-1147.0,-856.0,3.3333333333333335,9,1,3,4.0,5.0,44.0,4.6,9,32:19:00,9.3,704.0,415.0,-5.8,-48.0,-436.0,3.2679738562091507,4,4,9,1.0,3.0,25.0,2.2,7.3,35:10:00,9.9,608.0,420.0,-11.2,-942.0,-384.0,8.88888888888889
 Jax,1,1,1,0.0,1.0,0.0,0.0,10,34:53:00,8.8,344.0,359.0,15.0,-290.0,245.0,0.9302325581395349,2,1,3,2.0,0.0,100.0,7,6,29:42:00,8.0,342.0,432.0,20.0,650.0,618.0,3.3333333333333335,5,0,2,1.0,4.0,20.0,1.5,-,30:41:00,8.2,317.0,391.0,-15.2,-197.0,-40.0,1.6339869281045754,2,2,4,0.0,2.0,0.0,0.8,9,30:38:00,7.9,404.0,360.0,13.0,280.0,72.0,4.444444444444445
 Braum,2,0,1,1.0,1.0,50.0,2.0,-,34:15:00,1.2,188.0,215.0,12.5,-630.0,-751.0,0.9302325581395349,0,0,0,,,,,-,0:00,,,,,,,0.0,3,1,1,1.0,2.0,33.0,4.3,8,32:12:00,1.1,185.0,226.0,5.3,113.0,379.0,1.3071895424836601,4,2,7,1.0,3.0,25.0,3.3,9,35:06:00,1.1,202.0,228.0,1.8,155.0,548.0,6.666666666666667
 Yuumi,2,0,1,0.0,2.0,0.0,0.9,-,26:53:00,0.3,222.0,199.0,-15.0,-2223.0,-537.0,0.9302325581395349,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,2,2,,,,,10,0:00,,,,,,,2.2222222222222223
 Ashe,1,0,0,0.0,1.0,0.0,2.0,-,37:54:00,9.3,370.0,392.0,5.0,689.0,617.0,0.46511627906976744,2,0,2,1.0,1.0,50.0,3,-,29:07:00,8.4,644.0,378.0,14.0,59.0,133.0,2.2222222222222223,2,0,1,0.0,2.0,0.0,1.2,-,28:29:00,7.8,340.0,334.0,-11.0,-1254.0,-261.0,0.6535947712418301,3,5,9,2.0,1.0,67.0,3.7,8.4,31:26:00,8.8,492.0,389.0,19.3,418.0,455.0,8.88888888888889
 Blitzcrank,1,0,0,0.0,1.0,0.0,1.2,-,50:59:00,0.9,119.0,218.0,7.0,168.0,349.0,0.46511627906976744,5,1,7,2.0,3.0,40.0,2.4,9,31:21:00,1.0,133.0,219.0,2.6,-996.0,-708.0,6.666666666666667,0,0,0,,,,,-,0:00,,,,,,,0.0,2,3,6,2.0,0.0,100.0,3,7.7,34:04:00,0.9,103.0,237.0,-6.5,216.0,-136.0,5.555555555555555
 Fizz,1,0,0,1.0,0.0,100.0,3.3,-,35:35:00,7.1,385.0,397.0,-9.0,258.0,367.0,0.46511627906976744,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Heimerdinger,1,0,0,1.0,0.0,100.0,1.9,-,34:42:00,6.1,533.0,388.0,-19.0,-691.0,-554.0,0.46511627906976744,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Janna,1,0,0,1.0,0.0,100.0,8.0,-,30:46:00,0.5,233.0,251.0,-18.0,316.0,-394.0,0.46511627906976744,2,0,2,1.0,1.0,50.0,4.5,-,42:16:00,1.0,113.0,232.0,-5.5,-106.0,525.0,2.2222222222222223,1,0,0,0.0,1.0,0.0,1,-,27:56:00,0.5,194.0,205.0,-20.0,-870.0,-790.0,0.32679738562091504,0,0,0,,,,,-,0:00,,,,,,,0.0
 Kassadin,0,1,0,,,,,9,0:00,,,,,,,0.46511627906976744,0,0,0,,,,,-,0:00,,,,,,,0.0,4,1,2,4.0,0.0,100.0,-,7,27:42:00,9.1,571.0,460.0,6.2,597.0,74.0,1.6339869281045754,0,0,0,,,,,-,0:00,,,,,,,0.0
 Kayle,1,0,0,0.0,1.0,0.0,1.3,-,33:31:00,8.1,501.0,390.0,11.0,759.0,232.0,0.46511627906976744,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 KogMaw,1,0,0,0.0,1.0,0.0,1.3,-,31:36:00,9.9,479.0,405.0,40.0,2155.0,781.0,0.46511627906976744,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 LeBlanc,1,0,0,0.0,1.0,0.0,7.0,-,33:27:00,9.9,688.0,405.0,6.0,-716.0,396.0,0.46511627906976744,3,1,4,2.0,1.0,67.0,3.3,8,29:41:00,8.2,517.0,403.0,16.7,182.0,761.0,4.444444444444445,11,3,5,3.0,8.0,27.0,2.5,8.7,30:36:00,7.6,451.0,352.0,-4.7,-140.0,-220.0,4.57516339869281,5,1,7,1.0,4.0,20.0,3.3,10,34:29:00,8.1,512.0,379.0,3.4,-61.0,179.0,6.666666666666667
 Morgana,0,1,0,,,,,8,0:00,,,,,,,0.46511627906976744,2,2,4,0.0,2.0,0.0,2,7,35:28:00,3.5,268.0,277.0,6.5,704.0,308.0,4.444444444444445,2,1,1,0.0,2.0,0.0,2.8,8,38:05:00,1.2,225.0,229.0,-2.5,344.0,232.0,0.9803921568627451,2,2,4,0.0,2.0,0.0,1.7,8.5,28:47:00,0.5,171.0,218.0,-17.0,126.0,16.0,4.444444444444445
 Nasus,1,0,0,0.0,1.0,0.0,0.8,-,36:05:00,8.0,566.0,355.0,18.0,328.0,845.0,0.46511627906976744,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Sivir,1,0,0,0.0,1.0,0.0,1.7,-,30:00:00,9.2,460.0,413.0,13.0,1286.0,568.0,0.46511627906976744,2,0,2,1.0,1.0,50.0,4,-,48:26:00,10.4,850.0,456.0,-11.0,-157.0,-454.0,2.2222222222222223,3,0,1,0.0,3.0,0.0,2.8,-,33:00:00,9.7,486.0,408.0,-23.3,-1651.0,-611.0,0.9803921568627451,2,1,3,2.0,0.0,100.0,-,7,32:37:00,10.5,593.0,491.0,10.0,-98.0,204.0,3.3333333333333335
 Trundle,1,0,0,0.0,1.0,0.0,1.1,-,30:32:00,4.8,270.0,332.0,1.0,233.0,579.0,0.46511627906976744,0,0,0,,,,,-,0:00,,,,,,,0.0,3,0,1,1.0,2.0,33.0,1.5,-,29:14:00,4.8,200.0,290.0,-22.3,-856.0,-1251.0,0.9803921568627451,0,0,0,,,,,-,0:00,,,,,,,0.0
 Veigar,1,0,0,0.0,1.0,0.0,1.0,-,34:35:00,8.1,482.0,361.0,14.0,778.0,-259.0,0.46511627906976744,1,0,1,1.0,0.0,100.0,-,-,29:47:00,8.8,228.0,415.0,-13.0,-138.0,-24.0,1.1111111111111112,0,1,0,,,,,10,0:00,,,,,,,0.32679738562091504,1,0,1,0.0,1.0,0.0,0.8,-,36:22:00,1.7,165.0,236.0,4.0,-442.0,-334.0,1.1111111111111112
 Vladimir,1,0,0,0.0,1.0,0.0,0.0,-,32:40:00,9.7,186.0,344.0,5.0,-166.0,187.0,0.46511627906976744,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,1,0,1,0.0,1.0,0.0,0.3,-,29:12:00,7.3,267.0,305.0,-24.0,-3240.0,-2054.0,1.1111111111111112
 RekSai,1,0,0,0.0,1.0,0.0,0.5,-,33:40:00,5.0,97.0,271.0,-14.0,-365.0,-464.0,0.46511627906976744,2,2,4,2.0,0.0,100.0,4.4,8.5,36:46:00,6.2,506.0,411.0,7.0,990.0,894.0,4.444444444444445,1,0,0,0.0,1.0,0.0,1,-,33:28:00,4.4,200.0,303.0,-12.0,-321.0,-770.0,0.32679738562091504,1,0,1,0.0,1.0,0.0,0.8,-,36:22:00,5.3,224.0,279.0,-27.0,-1018.0,-649.0,1.1111111111111112
 Kled,1,0,0,0.0,1.0,0.0,1.3,-,26:59:00,7.5,532.0,308.0,7.0,-622.0,21.0,0.46511627906976744,3,2,6,2.0,1.0,67.0,3.3,6.5,35:36:00,6.5,342.0,339.0,-14.3,-762.0,-692.0,5.555555555555555,3,3,2,3.0,0.0,100.0,5.8,8.7,30:09:00,8.7,396.0,437.0,0.0,-94.0,-188.0,1.9607843137254901,1,0,1,0.0,1.0,0.0,3,-,34:46:00,8.4,304.0,321.0,-1.0,-875.0,-686.0,1.1111111111111112
