Champion,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y
 Thresh,44,86,60,25.0,19.0,57.0,3.3,3.6,33:41:00,1.1,93.0,228.0,3.3,78.0,61.0,60.46511627906976,16,33,54,7.0,9.0,44.0,2.6,5.4,34:20:00,1.1,88.0,223.0,1.6,69.0,-113.0,54.44444444444444,71,121,63,35.0,36.0,49.0,2.8,4.8,31:22:00,1.1,101.0,230.0,2.8,56.0,85.0,62.745098039215684,17,63,89,7.0,10.0,41.0,2.2,4.2,33:23:00,1.1,99.0,225.0,3.4,-187.0,-74.0,88.88888888888889
 Olaf,67,62,60,30.0,37.0,45.0,3.1,4.6,32:19:00,5.9,320.0,341.0,-6.2,-136.0,-269.0,60.0,22,61,92,16.0,6.0,73.0,3.9,4,36:23:00,6.2,341.0,351.0,-2.0,-105.0,-86.0,92.22222222222223,108,113,72,52.0,56.0,48.0,3.3,4.3,30:39:00,6.0,348.0,349.0,-2.7,-186.0,-219.0,72.22222222222221,17,34,57,10.0,7.0,59.0,3.7,4.1,33:18:00,6.0,421.0,360.0,1.1,-214.0,-103.0,56.666666666666664
 Orianna,78,51,60,39.0,39.0,50.0,4.2,7.9,33:55:00,9.2,435.0,398.0,3.3,109.0,55.0,60.0,33,22,61,16.0,17.0,48.0,4.4,8,35:29:00,9.2,458.0,396.0,5.9,-55.0,129.0,61.111111111111114,115,95,69,64.0,51.0,56.0,5.3,6.8,31:17:00,8.8,474.0,402.0,4.8,81.0,152.0,68.62745098039215,31,16,52,17.0,14.0,55.0,5,7.5,33:09:00,9.0,494.0,406.0,4.6,135.0,201.0,52.22222222222223
 Lillia,65,59,58,29.0,36.0,45.0,3.7,5.1,33:31:00,6.7,365.0,347.0,1.9,19.0,47.0,57.674418604651166,32,24,62,16.0,16.0,50.0,3.8,5.1,33:23:00,6.7,337.0,342.0,4.4,148.0,305.0,62.22222222222222,92,82,57,48.0,44.0,52.0,3.8,4.5,30:29:00,6.6,414.0,361.0,4.4,38.0,107.0,56.86274509803921,37,30,74,18.0,19.0,49.0,3,4.5,34:10:00,6.2,351.0,335.0,1.2,96.0,-33.0,74.44444444444444
 Nidalee,69,41,51,34.0,35.0,49.0,4.1,4,32:55:00,6.7,385.0,361.0,3.5,104.0,218.0,51.162790697674424,9,9,20,5.0,4.0,56.0,5.2,7.1,32:05:00,6.3,320.0,350.0,-0.9,101.0,-8.0,20.0,40,109,49,24.0,16.0,60.0,4.2,3.1,31:48:00,6.7,427.0,372.0,4.1,178.0,232.0,48.69281045751634,15,6,23,9.0,6.0,60.0,4.5,8.2,34:49:00,6.5,369.0,357.0,2.2,489.0,367.0,23.333333333333332
 Samira,61,45,49,26.0,35.0,43.0,3.4,4.3,32:31:00,9.0,356.0,416.0,-1.2,-77.0,-48.0,49.30232558139535,10,4,16,3.0,7.0,30.0,2.3,8,35:06:00,8.9,344.0,419.0,2.8,103.0,332.0,15.555555555555555,59,80,45,22.0,37.0,37.0,3.1,5,31:15:00,9.3,401.0,427.0,0.7,55.0,-24.0,45.42483660130719,10,7,19,4.0,6.0,40.0,3.4,7.9,30:08:00,8.1,444.0,419.0,1.2,450.0,-29.0,18.88888888888889
 Taliyah,19,85,48,17.0,2.0,89.0,4.4,3.8,33:13:00,6.8,364.0,377.0,5.7,587.0,468.0,48.372093023255815,12,7,21,5.0,7.0,42.0,3,5,32:34:00,6.9,440.0,375.0,1.3,-209.0,122.0,21.11111111111111,22,37,19,16.0,6.0,73.0,3.5,4.2,32:15:00,6.9,454.0,378.0,8.0,45.0,370.0,19.28104575163399,8,30,42,7.0,1.0,88.0,5.7,4,30:24:00,7.0,446.0,396.0,11.2,398.0,533.0,42.22222222222222
 Aphelios,43,54,45,22.0,21.0,51.0,3.2,4.3,33:05:00,9.9,466.0,442.0,5.3,380.0,39.0,45.11627906976744,10,5,17,6.0,4.0,60.0,3.1,8.2,35:59:00,9.8,523.0,442.0,6.8,636.0,158.0,16.666666666666664,55,48,34,26.0,29.0,47.0,3.1,5.4,31:22:00,9.9,532.0,449.0,7.9,454.0,27.0,33.66013071895425,13,3,18,4.0,9.0,31.0,2.8,4.3,33:41:00,9.4,454.0,411.0,6.5,-59.0,86.0,17.77777777777778
 Graves,55,40,44,28.0,27.0,51.0,3.8,4.8,33:17:00,7.4,379.0,377.0,4.0,29.0,198.0,44.18604651162791,15,10,28,3.0,12.0,20.0,1.8,5.8,32:51:00,6.8,289.0,337.0,-1.2,-307.0,-205.0,27.77777777777778,65,25,29,19.0,46.0,29.0,3.2,5.8,32:05:00,7.0,341.0,370.0,2.9,36.0,78.0,29.411764705882355,23,17,44,12.0,11.0,52.0,4.1,4.9,32:52:00,7.3,413.0,389.0,8.4,186.0,490.0,44.44444444444444
 Camille,37,49,40,19.0,18.0,51.0,2.7,6.2,33:13:00,8.4,442.0,409.0,-2.4,77.0,-6.0,40.0,19,27,51,8.0,11.0,42.0,2,5.4,31:53:00,7.5,374.0,376.0,-10.7,-336.0,-310.0,51.11111111111111,45,124,55,24.0,21.0,53.0,3.2,4.9,30:07:00,8.1,438.0,403.0,-3.8,94.0,-82.0,55.22875816993464,9,28,41,3.0,6.0,33.0,1.7,5,32:13:00,7.7,402.0,368.0,-5.2,-224.0,-255.0,41.11111111111111
