Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
 Senna,11,6,6%,2,9,18%,2.4,7.8,27:55:00,6,442,354,-3.4,317,137,13.07189
 Ezreal,11,3,5%,4,7,36%,3.6,8.3,34:14:00,9.2,739,420,-0.8,233,-58,13.07189
 LeBlanc,11,3,5%,3,8,27%,2.5,8.7,30:36:00,7.6,451,352,-4.7,-140,-220,13.07189
 Kennen,9,4,4%,1,8,11%,1.4,8.3,32:44:00,7.3,454,347,2.2,-578,-17,13.07189
 Malphite,5,8,4%,0,5,0%,1.2,9.5,30:18:00,6.2,332,304,-31,-727,-544,13.07189
 Cassiopeia,5,7,4%,3,2,60%,4.5,8.6,28:21:00,8.3,561,410,9.2,506,199,13.07189
 Karthus,8,4,4%,5,3,63%,2.6,7,33:10:00,7.1,679,384,11.3,-313,35,13.07189
 Kindred,5,6,4%,1,4,20%,2.1,8.5,28:35:00,5.9,326,333,-21.8,-1184,-1281,13.07189
 Kayn,8,3,4%,4,4,50%,2.5,8,30:02:00,6.8,303,367,-14.5,-168,-564,13.07189
 Corki,9,1,3%,4,5,44%,4.6,9,32:19:00,9.3,704,415,-5.8,-48,-436,13.07189
 Maokai,8,2,3%,4,4,50%,2.2,8,35:12:00,1.1,402,221,0.1,-80,-72,13.07189
 Sejuani,7,3,3%,5,2,71%,4.9,8.3,33:43:00,5.3,262,330,-18,-400,-632,13.07189
 Karma,7,2,3%,3,4,43%,2.8,9,29:54:00,4.7,332,296,-8.3,26,-235,13.07189
 Volibear,5,4,3%,0,5,0%,1.5,8.3,30:29:00,7.5,324,327,-15.2,-839,-190,13.07189
 Chogath,6,2,3%,3,3,50%,1.6,8.5,30:15:00,7.2,386,357,-6.3,-599,-380,13.07189
 Dr. Mundo,6,2,3%,2,4,33%,1.8,8.5,26:45:00,6.2,324,326,-5.2,-247,-243,13.07189
 Quinn,3,5,3%,3,0,100%,7.7,9.6,29:36:00,9.2,934,513,11.3,793,-17,13.07189
 Elise,1,6,2%,1,0,100%,5.5,3.7,35:13:00,5.7,424,367,-15,756,-143,13.07189
 Lee Sin,5,2,2%,3,2,60%,6,8,28:36:00,5.6,269,351,-28.6,-822,-1366,13.07189
 Zilean,1,6,2%,0,1,0%,0.5,8.2,26:16:00,7.1,378,301,-16,-644,-468,13.07189
 Tahm Kench,7,0,2%,2,5,29%,2.5,-,28:01:00,4.1,153,270,-21.1,-960,-315,13.07189
 Skarner,4,2,2%,3,1,75%,4.6,7,29:43:00,5.6,135,337,-25.5,-643,-840,13.07189
 Kled,3,3,2%,3,0,100%,5.8,8.7,30:09:00,8.7,396,437,0,-94,-188,13.07189
 Jax,5,0,2%,1,4,20%,1.5,-,30:41:00,8.2,317,391,-15.2,-197,-40,13.07189
 Kassadin,4,1,2%,4,0,100%,-,7,27:42:00,9.1,571,460,6.2,597,74,13.07189
 Jarvan IV,3,1,1%,0,3,0%,1.4,7,34:12:00,2.2,182,244,-19.3,-8,-562,13.07189
 Shen,4,0,1%,2,2,50%,3,-,31:01:00,3.1,152,271,0.2,98,493,13.07189
 Braum,3,1,1%,1,2,33%,4.3,8,32:12:00,1.1,185,226,5.3,113,379,13.07189
 Ekko,2,2,1%,0,2,0%,4,10,29:08:00,8.9,572,411,-10.5,128,270,13.07189
 Fiora,2,1,1%,0,2,0%,1.4,10,27:13:00,8.5,313,380,11.5,240,24,13.07189
 Morgana,2,1,1%,0,2,0%,2.8,8,38:05:00,1.2,225,229,-2.5,344,232,13.07189
 Sivir,3,0,1%,0,3,0%,2.8,-,33:00:00,9.7,486,408,-23.3,-1651,-611,13.07189
 Trundle,3,0,1%,1,2,33%,1.5,-,29:14:00,4.8,200,290,-22.3,-856,-1251,13.07189
 Bard,3,0,1%,2,1,67%,2.8,-,29:19:00,1,174,245,-6,209,419,13.07189
 Ashe,2,0,1%,0,2,0%,1.2,-,28:29:00,7.8,340,334,-11,-1254,-261,13.07189
 Caitlyn,2,0,1%,1,1,50%,2,-,30:15:00,9.8,478,406,-24,-712,-1077,13.07189
 Draven,1,1,1%,1,0,100%,4,10,30:42:00,9,386,485,-1,1129,-787,13.07189
 Lulu,2,0,1%,1,1,50%,1.7,-,33:48:00,6.1,323,311,-21,-1090,97,13.07189
 Neeko,2,0,1%,2,0,100%,4.7,-,26:04:00,7.8,662,420,1.5,296,346,13.07189
 Garen,0,1,0%,,,,,6,0:00,,,,,,,13.07189
 Janna,1,0,0%,0,1,0%,1,-,27:56:00,0.5,194,205,-20,-870,-790,13.07189
 Rengar,0,1,0%,,,,,9,0:00,,,,,,,13.07189
 Taric,1,0,0%,0,1,0%,1.2,-,33:53:00,1.2,65,222,-2,-301,606,13.07189
 Teemo,0,1,0%,,,,,9,0:00,,,,,,,13.07189
 Veigar,0,1,0%,,,,,10,0:00,,,,,,,13.07189
 RekSai,1,0,0%,0,1,0%,1,-,33:28:00,4.4,200,303,-12,-321,-770,13.07189
 Ahri,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Amumu,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Anivia,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Annie,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Blitzcrank,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Brand,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Darius,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Diana,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Evelynn,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Fiddlesticks,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Fizz,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Heimerdinger,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Katarina,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Kayle,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 KhaZix,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 KogMaw,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Lissandra,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Lux,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Malzahar,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Master Yi,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Mordekaiser,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Nami,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Nasus,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Nunu,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Poppy,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Rammus,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Riven,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Shaco,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Shyvana,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Singed,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Sona,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Soraka,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Swain,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Talon,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Tryndamere,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Twitch,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Urgot,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Vi,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Vladimir,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Warwick,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Xerath,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Xin Zhao,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Yasuo,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Yorick,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Zac,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Zed,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Ziggs,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Zyra,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 VelKoz,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Illaoi,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Aurelion Sol,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Ivern,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Pyke,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Yuumi,0,0,0%,,,,,-,0:00,,,,,,,13.07189
 Qiyana,0,0,0%,,,,,-,0:00,,,,,,,13.07189
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
