Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Kled,3,2,6%,2,1,67%,3.3,6.5,35:36:00,6.5,342,339,-14.3,-762,-692
 Kayn,4,1,6%,1,3,25%,1.5,9,30:26:00,6.7,292,345,-12.2,-422,-934
 Dr. Mundo,4,0,4%,2,2,50%,1.3,-,32:37:00,6.1,218,318,5.8,192,143
 LeBlanc,3,1,4%,2,1,67%,3.3,8,29:41:00,8.2,517,403,16.7,182,761
 Morgana,2,2,4%,0,2,0%,2,7,35:28:00,3.5,268,277,6.5,704,308
 Vayne,3,1,4%,1,2,33%,3,9,30:12:00,8.5,397,398,-16.7,-1239,-293
 RekSai,2,2,4%,2,0,100%,4.4,8.5,36:46:00,6.2,506,411,7,990,894
 Jhin,3,1,4%,1,2,33%,6.3,7,34:41:00,9.2,353,401,1,-238,-240
 Sett,2,2,4%,1,1,50%,2.8,8.5,32:10:00,4.2,273,304,-9.5,298,-158
 Caitlyn,3,0,3%,1,2,33%,4.7,-,39:28:00,9.8,511,443,15,817,298
 Chogath,3,0,3%,3,0,100%,5.8,-,36:45:00,7.1,326,387,-2.7,117,275
 Corki,3,0,3%,0,3,0%,0.7,-,33:14:00,8.5,476,371,-21.7,-1147,-856
 Draven,2,1,3%,0,2,0%,1.8,7,33:30:00,8.6,355,394,-4.5,-220,-296
 Jax,2,1,3%,2,0,100%,7,6,29:42:00,8,342,432,20,650,618
 Bard,2,1,3%,1,1,50%,3.7,7,31:01:00,1.1,134,227,-5.5,-557,-158
 Kindred,1,2,3%,1,0,100%,12,8.5,29:54:00,7.8,368,431,2,638,126
 Ashe,2,0,2%,1,1,50%,3,-,29:07:00,8.4,644,378,14,59,133
 Janna,2,0,2%,1,1,50%,4.5,-,42:16:00,1,113,232,-5.5,-106,525
 Kennen,2,0,2%,0,2,0%,1.4,-,34:05:00,8.1,316,366,-1.5,-621,-772
 Malphite,1,1,2%,1,0,100%,-,10,31:22:00,6.6,271,367,-25,-861,-1059
 Sivir,2,0,2%,1,1,50%,4,-,48:26:00,10.4,850,456,-11,-157,-454
 Varus,1,1,2%,1,0,100%,4,9,44:59:00,6.3,907,343,37,1013,311
 Ekko,2,0,2%,2,0,100%,7.5,-,35:05:00,9.7,462,452,2,32,484
 Ornn,2,0,2%,0,2,0%,1.8,-,38:26:00,6.3,310,304,-14.5,-423,134
 Neeko,2,0,2%,1,1,50%,1.1,-,39:56:00,4.4,365,287,-20,-82,-356
 Ahri,1,0,1%,1,0,100%,5.3,-,34:53:00,8.3,586,397,22,377,263
 Cassiopeia,0,1,1%,,,,,9,0:00,,,,,,
 Malzahar,0,1,1%,,,,,8,0:00,,,,,,
 Maokai,1,0,1%,0,1,0%,0.7,-,31:02:00,1.5,305,212,8,-2368,-173
 Mordekaiser,1,0,1%,1,0,100%,3.3,-,38:28:00,7.4,571,424,-12,-263,359
 Quinn,1,0,1%,0,1,0%,9,-,30:21:00,7.6,529,382,21,761,418
 Rengar,1,0,1%,0,1,0%,0.5,-,30:25:00,5.1,196,267,-31,-1663,-2003
 Rumble,1,0,1%,1,0,100%,10,-,29:54:00,6,601,335,-34,-1589,-530
 Veigar,1,0,1%,1,0,100%,-,-,29:47:00,8.8,228,415,-13,-138,-24
 Yasuo,1,0,1%,1,0,100%,7.5,-,31:22:00,9.7,507,433,-36,-1059,-805
 Ziggs,1,0,1%,0,1,0%,3,-,32:01:00,9.4,565,366,-27,-936,-1094
 Ivern,1,0,1%,0,1,0%,10,-,48:00:00,5.6,212,289,-26,-2388,170
 Akali,0,0,0%,,,,,-,0:00,,,,,,
 Amumu,0,0,0%,,,,,-,0:00,,,,,,
 Anivia,0,0,0%,,,,,-,0:00,,,,,,
 Annie,0,0,0%,,,,,-,0:00,,,,,,
 Brand,0,0,0%,,,,,-,0:00,,,,,,
 Darius,0,0,0%,,,,,-,0:00,,,,,,
 Diana,0,0,0%,,,,,-,0:00,,,,,,
 Elise,0,0,0%,,,,,-,0:00,,,,,,
 Evelynn,0,0,0%,,,,,-,0:00,,,,,,
 Fiddlesticks,0,0,0%,,,,,-,0:00,,,,,,
 Fiora,0,0,0%,,,,,-,0:00,,,,,,
 Fizz,0,0,0%,,,,,-,0:00,,,,,,
 Garen,0,0,0%,,,,,-,0:00,,,,,,
 Heimerdinger,0,0,0%,,,,,-,0:00,,,,,,
 Karthus,0,0,0%,,,,,-,0:00,,,,,,
 Kassadin,0,0,0%,,,,,-,0:00,,,,,,
 Katarina,0,0,0%,,,,,-,0:00,,,,,,
 Kayle,0,0,0%,,,,,-,0:00,,,,,,
 KhaZix,0,0,0%,,,,,-,0:00,,,,,,
 KogMaw,0,0,0%,,,,,-,0:00,,,,,,
 Lee Sin,0,0,0%,,,,,-,0:00,,,,,,
 Lissandra,0,0,0%,,,,,-,0:00,,,,,,
 Lux,0,0,0%,,,,,-,0:00,,,,,,
 Master Yi,0,0,0%,,,,,-,0:00,,,,,,
 Nami,0,0,0%,,,,,-,0:00,,,,,,
 Nasus,0,0,0%,,,,,-,0:00,,,,,,
 Nunu,0,0,0%,,,,,-,0:00,,,,,,
 Poppy,0,0,0%,,,,,-,0:00,,,,,,
 Rammus,0,0,0%,,,,,-,0:00,,,,,,
 Riven,0,0,0%,,,,,-,0:00,,,,,,
 Sejuani,0,0,0%,,,,,-,0:00,,,,,,
 Shaco,0,0,0%,,,,,-,0:00,,,,,,
 Shyvana,0,0,0%,,,,,-,0:00,,,,,,
 Singed,0,0,0%,,,,,-,0:00,,,,,,
 Sona,0,0,0%,,,,,-,0:00,,,,,,
 Soraka,0,0,0%,,,,,-,0:00,,,,,,
 Swain,0,0,0%,,,,,-,0:00,,,,,,
 Talon,0,0,0%,,,,,-,0:00,,,,,,
 Taric,0,0,0%,,,,,-,0:00,,,,,,
 Teemo,0,0,0%,,,,,-,0:00,,,,,,
 Trundle,0,0,0%,,,,,-,0:00,,,,,,
 Tryndamere,0,0,0%,,,,,-,0:00,,,,,,
 Twitch,0,0,0%,,,,,-,0:00,,,,,,
 Urgot,0,0,0%,,,,,-,0:00,,,,,,
 Vi,0,0,0%,,,,,-,0:00,,,,,,
 Vladimir,0,0,0%,,,,,-,0:00,,,,,,
 Volibear,0,0,0%,,,,,-,0:00,,,,,,
 Warwick,0,0,0%,,,,,-,0:00,,,,,,
 Wukong,0,0,0%,,,,,-,0:00,,,,,,
 Xerath,0,0,0%,,,,,-,0:00,,,,,,
 Xin Zhao,0,0,0%,,,,,-,0:00,,,,,,
 Yorick,0,0,0%,,,,,-,0:00,,,,,,
 Zac,0,0,0%,,,,,-,0:00,,,,,,
 Zed,0,0,0%,,,,,-,0:00,,,,,,
 Zilean,0,0,0%,,,,,-,0:00,,,,,,
 Zyra,0,0,0%,,,,,-,0:00,,,,,,
 Braum,0,0,0%,,,,,-,0:00,,,,,,
 VelKoz,0,0,0%,,,,,-,0:00,,,,,,
 Illaoi,0,0,0%,,,,,-,0:00,,,,,,
 Aurelion Sol,0,0,0%,,,,,-,0:00,,,,,,
 Pyke,0,0,0%,,,,,-,0:00,,,,,,
 Yuumi,0,0,0%,,,,,-,0:00,,,,,,
 Qiyana,0,0,0%,,,,,-,0:00,,,,,,
