Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Nocturne,2,4,3%,0,2,0%,1.8,5.3,33:09:00,7.9,319,368,-5,92,-74
 Shen,4,1,2%,1,3,25%,2.2,10,31:33:00,2.6,178,255,-5,-110,166
 Varus,4,1,2%,3,1,75%,5.8,9,33:51:00,8.3,848,394,1.2,-320,-136
 Lee Sin,4,0,2%,1,3,25%,3.4,-,31:15:00,5.9,202,323,-22.5,-688,-972
 Miss Fortune,3,1,2%,1,2,33%,1.9,9,34:22:00,9.1,425,400,0,-461,238
 Mordekaiser,4,0,2%,2,2,50%,1.9,-,30:37:00,7.5,425,362,-17.5,-1354,-517
 Ryze,4,0,2%,1,3,25%,2.4,-,28:04:00,10.1,384,414,15,216,316
 Cassiopeia,3,0,1%,0,3,0%,0.8,-,29:50:00,8,379,341,-5,-711,-1083
 Karma,3,0,1%,1,2,33%,3.3,-,35:57:00,5,401,285,-9,-395,-537
 Karthus,2,1,1%,1,1,50%,1.8,9,37:47:00,7,779,367,0.5,169,-14
 Malphite,2,1,1%,1,1,50%,1.7,10,31:52:00,6.8,337,313,-32,-1804,-622
 Wukong,3,0,1%,1,2,33%,2,-,39:15:00,6.9,327,354,-22.3,-873,-387
 Zilean,3,0,1%,2,1,67%,11.3,-,30:56:00,8.3,445,379,16.7,628,1327
 Ekko,0,3,1%,,,,,5.7,0:00,,,,,,
 Pyke,3,0,1%,1,2,33%,1.9,-,33:54:00,1.4,123,254,-1.3,-30,-527
 Neeko,3,0,1%,2,1,67%,2.9,-,34:10:00,3.6,376,299,-10,442,256
 Corki,2,0,1%,1,1,50%,3.7,-,32:45:00,10.4,605,502,11.5,780,369
 Jax,1,1,1%,0,1,0%,0,10,34:53:00,8.8,344,359,15,-290,245
 Braum,2,0,1%,1,1,50%,2,-,34:15:00,1.2,188,215,12.5,-630,-751
 Yuumi,2,0,1%,0,2,0%,0.9,-,26:53:00,0.3,222,199,-15,-2223,-537
 Ashe,1,0,0%,0,1,0%,2,-,37:54:00,9.3,370,392,5,689,617
 Blitzcrank,1,0,0%,0,1,0%,1.2,-,50:59:00,0.9,119,218,7,168,349
 Fizz,1,0,0%,1,0,100%,3.3,-,35:35:00,7.1,385,397,-9,258,367
 Heimerdinger,1,0,0%,1,0,100%,1.9,-,34:42:00,6.1,533,388,-19,-691,-554
 Janna,1,0,0%,1,0,100%,8,-,30:46:00,0.5,233,251,-18,316,-394
 Kassadin,0,1,0%,,,,,9,0:00,,,,,,
 Kayle,1,0,0%,0,1,0%,1.3,-,33:31:00,8.1,501,390,11,759,232
