Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Dr. Mundo,4,0,4%,1,3,25%,2.3,-,30:44:00,7,407,345,9.8,-223,124
 Jax,2,2,4%,0,2,0%,0.8,9,30:38:00,7.9,404,360,13,280,72
 Karma,3,1,4%,3,0,100%,9.7,10,31:18:00,5.1,452,333,-1.3,-65,150
 Kennen,3,1,4%,2,1,67%,2.7,9,33:12:00,7.4,345,336,-9.7,-263,-461
 Morgana,2,2,4%,0,2,0%,1.7,8.5,28:47:00,0.5,171,218,-17,126,16
 Yone,4,0,4%,2,2,50%,3.2,-,28:46:00,8.7,442,409,0,-296,249
 Irelia,3,0,3%,1,2,33%,2.7,-,34:11:00,8.5,374,397,4.3,-382,-557
 Lulu,3,0,3%,1,2,33%,2.2,-,36:20:00,2.3,251,248,-7.3,-253,-233
 Lux,1,2,3%,1,0,100%,2.8,9,35:40:00,0.7,207,242,-11,-1625,-2069
 Nocturne,3,0,3%,1,2,33%,2.3,-,30:35:00,8.9,313,432,-2,-87,-72
 Sivir,2,1,3%,2,0,100%,-,7,32:37:00,10.5,593,491,10,-98,204
 Wukong,3,0,3%,2,1,67%,2,-,33:29:00,6.7,417,413,10,762,319
 Ivern,3,0,3%,2,1,67%,5.3,-,29:51:00,6.2,213,313,-9.7,-630,-336
 Ahri,2,0,2%,1,1,50%,4.5,-,33:52:00,9.3,484,417,-9,394,-294
 Quinn,2,0,2%,2,0,100%,3.8,-,39:56:00,9,772,463,14.5,1174,80
 Rumble,1,1,2%,0,1,0%,2.5,9,34:15:00,7.9,553,360,-13,-175,-528
 Kayn,1,1,2%,1,0,100%,5.7,10,29:46:00,7.6,561,477,-2,822,-114
 Yuumi,0,2,2%,,,,,10,0:00,,,,,,
 Draven,0,1,1%,,,,,7,0:00,,,,,,
 Evelynn,1,0,1%,0,1,0%,1.8,-,35:50:00,5.5,442,354,-7,442,365
