,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
43, Nocturne,12,21,11,7.0,5.0,58.0,4.2,7,28:59:00,8.0,372.0,386.0,-0.3,8.0,-15.0,10.784313725490197
44, Irelia,11,19,10,5.0,6.0,45.0,2.2,8,28:38:00,8.7,308.0,405.0,21.5,408.0,84.0,9.803921568627452
45, Vayne,20,10,10,7.0,13.0,35.0,2,8.7,30:27:00,8.8,399.0,404.0,-8.6,-468.0,-246.0,9.803921568627452
46, Sylas,16,14,10,11.0,5.0,69.0,6.9,7.9,28:34:00,8.4,505.0,402.0,4.7,-135.0,143.0,9.803921568627452
47, Yone,9,17,8,4.0,5.0,44.0,2.7,6.8,27:10:00,8.1,396.0,386.0,-6.8,-243.0,-192.0,8.49673202614379
48, Miss Fortune,17,7,8,8.0,9.0,47.0,4.6,9,32:26:00,9.8,502.0,428.0,-1.0,6.0,-25.0,7.8431372549019605
49, Rumble,14,5,6,6.0,8.0,43.0,3.5,4.2,31:26:00,7.0,552.0,349.0,-5.8,-248.0,-139.0,6.209150326797386
50, Varus,10,9,6,7.0,3.0,70.0,5.2,7.7,31:10:00,9.1,676.0,438.0,4.6,150.0,298.0,6.209150326797386
51, Wukong,11,7,6,4.0,7.0,36.0,2.1,8.9,29:23:00,6.9,382.0,350.0,-18.9,-798.0,-478.0,5.88235294117647
52, Senna,11,6,6,2.0,9.0,18.0,2.4,7.8,27:55:00,6.0,442.0,354.0,-3.4,317.0,137.0,5.555555555555555
53, Ezreal,11,3,5,4.0,7.0,36.0,3.6,8.3,34:14:00,9.2,739.0,420.0,-0.8,233.0,-58.0,4.57516339869281
54, LeBlanc,11,3,5,3.0,8.0,27.0,2.5,8.7,30:36:00,7.6,451.0,352.0,-4.7,-140.0,-220.0,4.57516339869281
55, Kennen,9,4,4,1.0,8.0,11.0,1.4,8.3,32:44:00,7.3,454.0,347.0,2.2,-578.0,-17.0,4.248366013071895
56, Malphite,5,8,4,0.0,5.0,0.0,1.2,9.5,30:18:00,6.2,332.0,304.0,-31.0,-727.0,-544.0,4.248366013071895
57, Cassiopeia,5,7,4,3.0,2.0,60.0,4.5,8.6,28:21:00,8.3,561.0,410.0,9.2,506.0,199.0,3.9215686274509802
58, Karthus,8,4,4,5.0,3.0,63.0,2.6,7,33:10:00,7.1,679.0,384.0,11.3,-313.0,35.0,3.9215686274509802
59, Kindred,5,6,4,1.0,4.0,20.0,2.1,8.5,28:35:00,5.9,326.0,333.0,-21.8,-1184.0,-1281.0,3.594771241830065
60, Kayn,8,3,4,4.0,4.0,50.0,2.5,8,30:02:00,6.8,303.0,367.0,-14.5,-168.0,-564.0,3.594771241830065
61, Corki,9,1,3,4.0,5.0,44.0,4.6,9,32:19:00,9.3,704.0,415.0,-5.8,-48.0,-436.0,3.2679738562091507
62, Maokai,8,2,3,4.0,4.0,50.0,2.2,8,35:12:00,1.1,402.0,221.0,0.1,-80.0,-72.0,3.2679738562091507
63, Sejuani,7,3,3,5.0,2.0,71.0,4.9,8.3,33:43:00,5.3,262.0,330.0,-18.0,-400.0,-632.0,3.2679738562091507
64, Karma,7,2,3,3.0,4.0,43.0,2.8,9,29:54:00,4.7,332.0,296.0,-8.3,26.0,-235.0,2.941176470588235
65, Volibear,5,4,3,0.0,5.0,0.0,1.5,8.3,30:29:00,7.5,324.0,327.0,-15.2,-839.0,-190.0,2.941176470588235
66, Chogath,6,2,3,3.0,3.0,50.0,1.6,8.5,30:15:00,7.2,386.0,357.0,-6.3,-599.0,-380.0,2.6143790849673203
67, Dr. Mundo,6,2,3,2.0,4.0,33.0,1.8,8.5,26:45:00,6.2,324.0,326.0,-5.2,-247.0,-243.0,2.6143790849673203
68, Quinn,3,5,3,3.0,0.0,100.0,7.7,9.6,29:36:00,9.2,934.0,513.0,11.3,793.0,-17.0,2.6143790849673203
69, Elise,1,6,2,1.0,0.0,100.0,5.5,3.7,35:13:00,5.7,424.0,367.0,-15.0,756.0,-143.0,2.287581699346405
70, Lee Sin,5,2,2,3.0,2.0,60.0,6,8,28:36:00,5.6,269.0,351.0,-28.6,-822.0,-1366.0,2.287581699346405
71, Zilean,1,6,2,0.0,1.0,0.0,0.5,8.2,26:16:00,7.1,378.0,301.0,-16.0,-644.0,-468.0,2.287581699346405
72, Tahm Kench,7,0,2,2.0,5.0,29.0,2.5,-,28:01:00,4.1,153.0,270.0,-21.1,-960.0,-315.0,2.287581699346405
73, Skarner,4,2,2,3.0,1.0,75.0,4.6,7,29:43:00,5.6,135.0,337.0,-25.5,-643.0,-840.0,1.9607843137254901
74, Kled,3,3,2,3.0,0.0,100.0,5.8,8.7,30:09:00,8.7,396.0,437.0,0.0,-94.0,-188.0,1.9607843137254901
75, Jax,5,0,2,1.0,4.0,20.0,1.5,-,30:41:00,8.2,317.0,391.0,-15.2,-197.0,-40.0,1.6339869281045754
76, Kassadin,4,1,2,4.0,0.0,100.0,-,7,27:42:00,9.1,571.0,460.0,6.2,597.0,74.0,1.6339869281045754
77, Jarvan IV,3,1,1,0.0,3.0,0.0,1.4,7,34:12:00,2.2,182.0,244.0,-19.3,-8.0,-562.0,1.3071895424836601
78, Shen,4,0,1,2.0,2.0,50.0,3,-,31:01:00,3.1,152.0,271.0,0.2,98.0,493.0,1.3071895424836601
79, Braum,3,1,1,1.0,2.0,33.0,4.3,8,32:12:00,1.1,185.0,226.0,5.3,113.0,379.0,1.3071895424836601
80, Ekko,2,2,1,0.0,2.0,0.0,4,10,29:08:00,8.9,572.0,411.0,-10.5,128.0,270.0,1.3071895424836601
81, Fiora,2,1,1,0.0,2.0,0.0,1.4,10,27:13:00,8.5,313.0,380.0,11.5,240.0,24.0,0.9803921568627451
82, Morgana,2,1,1,0.0,2.0,0.0,2.8,8,38:05:00,1.2,225.0,229.0,-2.5,344.0,232.0,0.9803921568627451
83, Sivir,3,0,1,0.0,3.0,0.0,2.8,-,33:00:00,9.7,486.0,408.0,-23.3,-1651.0,-611.0,0.9803921568627451
84, Trundle,3,0,1,1.0,2.0,33.0,1.5,-,29:14:00,4.8,200.0,290.0,-22.3,-856.0,-1251.0,0.9803921568627451
85, Bard,3,0,1,2.0,1.0,67.0,2.8,-,29:19:00,1.0,174.0,245.0,-6.0,209.0,419.0,0.9803921568627451
86, Ashe,2,0,1,0.0,2.0,0.0,1.2,-,28:29:00,7.8,340.0,334.0,-11.0,-1254.0,-261.0,0.6535947712418301
87, Caitlyn,2,0,1,1.0,1.0,50.0,2,-,30:15:00,9.8,478.0,406.0,-24.0,-712.0,-1077.0,0.6535947712418301
88, Draven,1,1,1,1.0,0.0,100.0,4,10,30:42:00,9.0,386.0,485.0,-1.0,1129.0,-787.0,0.6535947712418301
89, Lulu,2,0,1,1.0,1.0,50.0,1.7,-,33:48:00,6.1,323.0,311.0,-21.0,-1090.0,97.0,0.6535947712418301
90, Neeko,2,0,1,2.0,0.0,100.0,4.7,-,26:04:00,7.8,662.0,420.0,1.5,296.0,346.0,0.6535947712418301
91, Garen,0,1,0,,,,,6,0:00,,,,,,,0.32679738562091504
92, Janna,1,0,0,0.0,1.0,0.0,1,-,27:56:00,0.5,194.0,205.0,-20.0,-870.0,-790.0,0.32679738562091504
93, Rengar,0,1,0,,,,,9,0:00,,,,,,,0.32679738562091504
94, Taric,1,0,0,0.0,1.0,0.0,1.2,-,33:53:00,1.2,65.0,222.0,-2.0,-301.0,606.0,0.32679738562091504
95, Teemo,0,1,0,,,,,9,0:00,,,,,,,0.32679738562091504
96, Veigar,0,1,0,,,,,10,0:00,,,,,,,0.32679738562091504
97, RekSai,1,0,0,0.0,1.0,0.0,1,-,33:28:00,4.4,200.0,303.0,-12.0,-321.0,-770.0,0.32679738562091504
98, Ahri,0,0,0,,,,,-,0:00,,,,,,,0.0
99, Amumu,0,0,0,,,,,-,0:00,,,,,,,0.0
100, Anivia,0,0,0,,,,,-,0:00,,,,,,,0.0
101, Annie,0,0,0,,,,,-,0:00,,,,,,,0.0
102, Blitzcrank,0,0,0,,,,,-,0:00,,,,,,,0.0
103, Brand,0,0,0,,,,,-,0:00,,,,,,,0.0
104, Darius,0,0,0,,,,,-,0:00,,,,,,,0.0
105, Diana,0,0,0,,,,,-,0:00,,,,,,,0.0
106, Evelynn,0,0,0,,,,,-,0:00,,,,,,,0.0
107, Fiddlesticks,0,0,0,,,,,-,0:00,,,,,,,0.0
108, Fizz,0,0,0,,,,,-,0:00,,,,,,,0.0
109, Heimerdinger,0,0,0,,,,,-,0:00,,,,,,,0.0
110, Katarina,0,0,0,,,,,-,0:00,,,,,,,0.0
111, Kayle,0,0,0,,,,,-,0:00,,,,,,,0.0
112, KhaZix,0,0,0,,,,,-,0:00,,,,,,,0.0
113, KogMaw,0,0,0,,,,,-,0:00,,,,,,,0.0
114, Lissandra,0,0,0,,,,,-,0:00,,,,,,,0.0
115, Lux,0,0,0,,,,,-,0:00,,,,,,,0.0
116, Malzahar,0,0,0,,,,,-,0:00,,,,,,,0.0
117, Master Yi,0,0,0,,,,,-,0:00,,,,,,,0.0
118, Mordekaiser,0,0,0,,,,,-,0:00,,,,,,,0.0
119, Nami,0,0,0,,,,,-,0:00,,,,,,,0.0
120, Nasus,0,0,0,,,,,-,0:00,,,,,,,0.0
121, Nunu,0,0,0,,,,,-,0:00,,,,,,,0.0
122, Poppy,0,0,0,,,,,-,0:00,,,,,,,0.0
123, Rammus,0,0,0,,,,,-,0:00,,,,,,,0.0
124, Riven,0,0,0,,,,,-,0:00,,,,,,,0.0
125, Shaco,0,0,0,,,,,-,0:00,,,,,,,0.0
126, Shyvana,0,0,0,,,,,-,0:00,,,,,,,0.0
127, Singed,0,0,0,,,,,-,0:00,,,,,,,0.0
128, Sona,0,0,0,,,,,-,0:00,,,,,,,0.0
129, Soraka,0,0,0,,,,,-,0:00,,,,,,,0.0
130, Swain,0,0,0,,,,,-,0:00,,,,,,,0.0
131, Talon,0,0,0,,,,,-,0:00,,,,,,,0.0
132, Tryndamere,0,0,0,,,,,-,0:00,,,,,,,0.0
133, Twitch,0,0,0,,,,,-,0:00,,,,,,,0.0
134, Urgot,0,0,0,,,,,-,0:00,,,,,,,0.0
135, Vi,0,0,0,,,,,-,0:00,,,,,,,0.0
136, Vladimir,0,0,0,,,,,-,0:00,,,,,,,0.0
137, Warwick,0,0,0,,,,,-,0:00,,,,,,,0.0
138, Xerath,0,0,0,,,,,-,0:00,,,,,,,0.0
139, Xin Zhao,0,0,0,,,,,-,0:00,,,,,,,0.0
140, Yasuo,0,0,0,,,,,-,0:00,,,,,,,0.0
141, Yorick,0,0,0,,,,,-,0:00,,,,,,,0.0
142, Zac,0,0,0,,,,,-,0:00,,,,,,,0.0
143, Zed,0,0,0,,,,,-,0:00,,,,,,,0.0
144, Ziggs,0,0,0,,,,,-,0:00,,,,,,,0.0
145, Zyra,0,0,0,,,,,-,0:00,,,,,,,0.0
146, VelKoz,0,0,0,,,,,-,0:00,,,,,,,0.0
147, Illaoi,0,0,0,,,,,-,0:00,,,,,,,0.0
148, Aurelion Sol,0,0,0,,,,,-,0:00,,,,,,,0.0
149, Ivern,0,0,0,,,,,-,0:00,,,,,,,0.0
150, Pyke,0,0,0,,,,,-,0:00,,,,,,,0.0
151, Yuumi,0,0,0,,,,,-,0:00,,,,,,,0.0
152, Qiyana,0,0,0,,,,,-,0:00,,,,,,,0.0
