,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
38, Senna,19,25,20,13.0,6.0,68.0,7.2,3.8,33:04:00,3.1,571.0,354.0,-4.7,699.0,401.0,20.46511627906977
39, Irelia,11,30,19,8.0,3.0,73.0,3.3,6.2,34:41:00,9.4,422.0,437.0,16.0,661.0,270.0,19.069767441860467
40, Akali,6,31,17,4.0,2.0,67.0,3.9,4.5,31:54:00,8.0,549.0,390.0,3.7,177.0,202.0,17.209302325581397
41, Nautilus,25,12,17,14.0,11.0,56.0,2.6,8.6,32:28:00,1.5,144.0,239.0,-1.2,-404.0,-185.0,17.209302325581397
42, Gangplank,15,15,14,5.0,10.0,33.0,3.4,9.1,35:17:00,8.7,664.0,442.0,-5.0,344.0,-233.0,13.953488372093023
43, Ezreal,15,14,13,11.0,4.0,73.0,5.1,7.5,30:56:00,9.6,644.0,443.0,7.9,61.0,2.0,13.488372093023257
44, Jinx,17,4,10,11.0,6.0,65.0,5.5,8.3,34:34:00,10.4,606.0,462.0,18.8,785.0,312.0,9.767441860465116
45, Kindred,11,9,9,7.0,4.0,64.0,2.5,5.8,31:58:00,7.0,424.0,368.0,1.7,-17.0,-63.0,9.30232558139535
46, Kennen,6,11,8,3.0,3.0,50.0,2.3,8.9,32:26:00,7.6,494.0,345.0,-3.8,-519.0,-417.0,7.906976744186046
47, Volibear,11,6,8,6.0,5.0,55.0,2.5,8.5,34:33:00,7.3,347.0,356.0,-11.3,-731.0,-419.0,7.906976744186046
48, Tahm Kench,12,4,7,7.0,5.0,58.0,4.3,7.5,31:21:00,4.8,208.0,298.0,-7.9,-340.0,-74.0,7.441860465116279
49, Sylas,8,7,7,4.0,4.0,50.0,2.2,9,30:03:00,7.8,400.0,366.0,-5.1,-42.0,162.0,6.976744186046512
50, Quinn,5,9,7,3.0,2.0,60.0,1.9,7.3,35:12:00,8.7,635.0,409.0,0.4,356.0,-312.0,6.511627906976744
51, Maokai,5,8,6,5.0,0.0,100.0,5.2,6.5,29:58:00,2.4,410.0,282.0,-3.8,198.0,79.0,6.046511627906977
52, Jhin,13,0,6,3.0,10.0,23.0,2.7,-,33:11:00,9.2,397.0,414.0,-5.0,-313.0,-208.0,6.046511627906977
53, Jarvan IV,7,4,5,4.0,3.0,57.0,2.7,8,35:46:00,2.0,200.0,259.0,-14.3,-165.0,-495.0,5.116279069767442
54, Lulu,5,5,5,3.0,2.0,60.0,2.7,6.6,31:47:00,2.5,175.0,254.0,-14.0,-129.0,-165.0,4.651162790697675
55, Kayn,6,4,5,3.0,3.0,50.0,1.7,4.3,36:56:00,7.3,383.0,369.0,-1.3,-380.0,-153.0,4.651162790697675
56, Skarner,4,5,4,1.0,3.0,25.0,1.4,5.6,30:49:00,4.7,140.0,279.0,-16.2,-1019.0,-1084.0,4.186046511627907
57, Vayne,8,0,4,4.0,4.0,50.0,2.9,-,31:38:00,9.1,357.0,427.0,-6.2,-550.0,-71.0,3.7209302325581395
