,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
43, Jayce,4,7,12,2.0,2.0,50.0,2.2,8.7,33:45:00,9.7,609.0,419.0,26.2,834.0,510.0,12.222222222222221
44, Ezreal,5,5,11,3.0,2.0,60.0,3.9,8.4,32:48:00,9.0,735.0,418.0,4.0,294.0,157.0,11.11111111111111
45, Sylas,5,3,9,4.0,1.0,80.0,6.3,9,31:42:00,8.0,507.0,397.0,-11.8,-190.0,-52.0,8.88888888888889
46, Miss Fortune,5,2,8,4.0,1.0,80.0,5.4,8.5,31:06:00,8.9,419.0,434.0,6.6,356.0,230.0,7.777777777777778
47, Blitzcrank,5,1,7,2.0,3.0,40.0,2.4,9,31:21:00,1.0,133.0,219.0,2.6,-996.0,-708.0,6.666666666666667
48, Jinx,4,2,7,0.0,4.0,0.0,2,7.5,34:28:00,9.5,561.0,394.0,-1.5,-206.0,-333.0,6.666666666666667
49, Karma,3,3,7,2.0,1.0,67.0,12,8.7,32:29:00,6.8,272.0,335.0,-16.3,-405.0,-65.0,6.666666666666667
50, Lulu,4,2,7,2.0,2.0,50.0,8,6.5,34:10:00,3.0,208.0,264.0,-8.2,-309.0,-167.0,6.666666666666667
51, Jarvan IV,3,2,6,2.0,1.0,67.0,4.4,9.5,34:16:00,5.4,236.0,329.0,-14.0,-336.0,-708.0,5.555555555555555
52, Nocturne,2,3,6,0.0,2.0,0.0,3,8,43:24:00,5.9,292.0,315.0,2.5,-411.0,-38.0,5.555555555555555
53, Kled,3,2,6,2.0,1.0,67.0,3.3,6.5,35:36:00,6.5,342.0,339.0,-14.3,-762.0,-692.0,5.555555555555555
54, Kayn,4,1,6,1.0,3.0,25.0,1.5,9,30:26:00,6.7,292.0,345.0,-12.2,-422.0,-934.0,5.555555555555555
55, Dr. Mundo,4,0,4,2.0,2.0,50.0,1.3,-,32:37:00,6.1,218.0,318.0,5.8,192.0,143.0,4.444444444444445
56, LeBlanc,3,1,4,2.0,1.0,67.0,3.3,8,29:41:00,8.2,517.0,403.0,16.7,182.0,761.0,4.444444444444445
57, Morgana,2,2,4,0.0,2.0,0.0,2,7,35:28:00,3.5,268.0,277.0,6.5,704.0,308.0,4.444444444444445
58, Vayne,3,1,4,1.0,2.0,33.0,3,9,30:12:00,8.5,397.0,398.0,-16.7,-1239.0,-293.0,4.444444444444445
59, RekSai,2,2,4,2.0,0.0,100.0,4.4,8.5,36:46:00,6.2,506.0,411.0,7.0,990.0,894.0,4.444444444444445
60, Jhin,3,1,4,1.0,2.0,33.0,6.3,7,34:41:00,9.2,353.0,401.0,1.0,-238.0,-240.0,4.444444444444445
61, Sett,2,2,4,1.0,1.0,50.0,2.8,8.5,32:10:00,4.2,273.0,304.0,-9.5,298.0,-158.0,4.444444444444445
62, Caitlyn,3,0,3,1.0,2.0,33.0,4.7,-,39:28:00,9.8,511.0,443.0,15.0,817.0,298.0,3.3333333333333335
63, Chogath,3,0,3,3.0,0.0,100.0,5.8,-,36:45:00,7.1,326.0,387.0,-2.7,117.0,275.0,3.3333333333333335
64, Corki,3,0,3,0.0,3.0,0.0,0.7,-,33:14:00,8.5,476.0,371.0,-21.7,-1147.0,-856.0,3.3333333333333335
65, Draven,2,1,3,0.0,2.0,0.0,1.8,7,33:30:00,8.6,355.0,394.0,-4.5,-220.0,-296.0,3.3333333333333335
66, Jax,2,1,3,2.0,0.0,100.0,7,6,29:42:00,8.0,342.0,432.0,20.0,650.0,618.0,3.3333333333333335
67, Bard,2,1,3,1.0,1.0,50.0,3.7,7,31:01:00,1.1,134.0,227.0,-5.5,-557.0,-158.0,3.3333333333333335
68, Kindred,1,2,3,1.0,0.0,100.0,12,8.5,29:54:00,7.8,368.0,431.0,2.0,638.0,126.0,3.3333333333333335
69, Ashe,2,0,2,1.0,1.0,50.0,3,-,29:07:00,8.4,644.0,378.0,14.0,59.0,133.0,2.2222222222222223
70, Janna,2,0,2,1.0,1.0,50.0,4.5,-,42:16:00,1.0,113.0,232.0,-5.5,-106.0,525.0,2.2222222222222223
71, Kennen,2,0,2,0.0,2.0,0.0,1.4,-,34:05:00,8.1,316.0,366.0,-1.5,-621.0,-772.0,2.2222222222222223
72, Malphite,1,1,2,1.0,0.0,100.0,-,10,31:22:00,6.6,271.0,367.0,-25.0,-861.0,-1059.0,2.2222222222222223
73, Sivir,2,0,2,1.0,1.0,50.0,4,-,48:26:00,10.4,850.0,456.0,-11.0,-157.0,-454.0,2.2222222222222223
74, Varus,1,1,2,1.0,0.0,100.0,4,9,44:59:00,6.3,907.0,343.0,37.0,1013.0,311.0,2.2222222222222223
75, Ekko,2,0,2,2.0,0.0,100.0,7.5,-,35:05:00,9.7,462.0,452.0,2.0,32.0,484.0,2.2222222222222223
76, Ornn,2,0,2,0.0,2.0,0.0,1.8,-,38:26:00,6.3,310.0,304.0,-14.5,-423.0,134.0,2.2222222222222223
77, Neeko,2,0,2,1.0,1.0,50.0,1.1,-,39:56:00,4.4,365.0,287.0,-20.0,-82.0,-356.0,2.2222222222222223
78, Ahri,1,0,1,1.0,0.0,100.0,5.3,-,34:53:00,8.3,586.0,397.0,22.0,377.0,263.0,1.1111111111111112
79, Cassiopeia,0,1,1,,,,,9,0:00,,,,,,,1.1111111111111112
80, Malzahar,0,1,1,,,,,8,0:00,,,,,,,1.1111111111111112
81, Maokai,1,0,1,0.0,1.0,0.0,0.7,-,31:02:00,1.5,305.0,212.0,8.0,-2368.0,-173.0,1.1111111111111112
82, Mordekaiser,1,0,1,1.0,0.0,100.0,3.3,-,38:28:00,7.4,571.0,424.0,-12.0,-263.0,359.0,1.1111111111111112
83, Quinn,1,0,1,0.0,1.0,0.0,9,-,30:21:00,7.6,529.0,382.0,21.0,761.0,418.0,1.1111111111111112
84, Rengar,1,0,1,0.0,1.0,0.0,0.5,-,30:25:00,5.1,196.0,267.0,-31.0,-1663.0,-2003.0,1.1111111111111112
85, Rumble,1,0,1,1.0,0.0,100.0,10,-,29:54:00,6.0,601.0,335.0,-34.0,-1589.0,-530.0,1.1111111111111112
86, Veigar,1,0,1,1.0,0.0,100.0,-,-,29:47:00,8.8,228.0,415.0,-13.0,-138.0,-24.0,1.1111111111111112
