Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
 Yuumi,13,21,10%,5.5,7,6,54%,8.4,33:31:00,0.3,372,0,13.51
 Neeko,21,10,9%,7.5,9,12,43%,2.5,30:04:00,7.4,489,-,13.51
 Bard,17,13,9%,7.3,5,12,29%,4,35:37:00,1.3,238,0,13.51
 Ekko,23,7,9%,7.7,11,12,48%,4.7,31:07:00,7.1,417,-,13.51
 Kindred,17,12,9%,5,10,7,59%,4,32:42:00,6.4,369,-,13.51
 Galio,19,9,8%,9,12,7,63%,5.3,32:49:00,7.3,457,0,13.51
 Blitzcrank,13,14,8%,8.1,6,7,46%,3.3,32:16:00,1,163,0,13.51
 Cassiopeia,16,11,8%,6.5,7,9,44%,3.3,33:59:00,8,448,0,13.51
 Ezreal,22,3,8%,8.7,9,13,41%,3,33:20:00,9.3,775,-,13.51
 Kennen,15,8,7%,8.6,9,6,60%,2.2,30:19:00,7.1,446,-,13.51
 Nidalee,10,9,6%,7.8,5,5,50%,2.8,26:49:00,7,316,-,13.51
 Morgana,7,11,5%,8.5,3,4,43%,2.6,36:00:00,0.9,157,0,13.51
 Jayce,13,5,5%,8,4,9,31%,2.1,30:37:00,8,619,-,13.51
 Diana,10,7,5%,8,5,5,50%,2.7,31:48:00,8.1,367,-,13.51
 Taliyah,10,7,5%,7.9,4,6,40%,3.4,31:01:00,6.6,456,-,13.51
 Orianna,12,4,5%,6.3,6,6,50%,3.8,32:02:00,8.1,566,-,13.51
 Fiora,6,10,5%,7.8,5,1,83%,4.5,29:49:00,8.7,521,-,13.51
 Camille,10,6,5%,9.5,3,7,30%,2,33:50:00,8.4,390,-,13.51
 Ryze,6,7,4%,6.9,3,3,50%,3.6,37:04:00,9,579,-,13.51
 Vladimir,9,3,4%,9,3,6,33%,2.8,32:41:00,8.8,580,-,13.51
 Karma,7,4,3%,4,3,4,43%,3.3,30:19:00,4.4,302,0,13.51
 Alistar,10,1,3%,9,4,6,40%,2.6,33:25:00,1,122,-,13.51
 Caitlyn,7,4,3%,9.8,5,2,71%,6.7,34:59:00,10.6,576,-,13.51
 Graves,6,4,3%,8,3,3,50%,5.4,28:52:00,7.2,324,-,13.51
 Kled,5,5,3%,7.4,4,1,80%,5.7,26:14:00,8.5,373,-,13.51
 Xayah,7,3,3%,8.7,2,5,29%,2.8,35:06:00,9.8,431,-,13.51
 Jax,6,4,3%,7.8,4,2,67%,4.2,30:18:00,8.6,445,-,13.51
 Poppy,5,4,3%,1.8,3,2,60%,1.9,33:40:00,6.5,314,-,13.51
 Malphite,6,3,3%,8.3,3,3,50%,3.3,33:58:00,7.5,361,-,13.51
 Quinn,2,6,2%,7.7,1,1,50%,1.9,28:04:00,8.4,601,-,13.51
 Zilean,4,3,2%,6.3,2,2,50%,4,33:15:00,8,504,-,13.51
 Aurelion Sol,3,4,2%,6,2,1,67%,13,31:32:00,7.5,524,-,13.51
 Janna,7,0,2%,-,3,4,43%,3.9,31:35:00,2.1,284,-,13.51
 Nocturne,4,2,2%,8.5,1,3,25%,1.8,32:48:00,6.9,222,-,13.51
 Vayne,3,3,2%,6.7,2,1,67%,3,26:32:00,8.6,626,-,13.51
 Viktor,4,1,2%,10,3,1,75%,9,32:14:00,9.1,694,-,13.51
 Pyke,4,0,1%,-,1,3,25%,2.4,32:35:00,1.8,218,0,13.51
 Yasuo,1,3,1%,9,1,0,100%,7.5,25:51:00,7.6,358,-,13.51
 Karthus,1,1,1%,6,1,0,100%,4.7,41:37:00,6.9,760,-,13.51
