Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
 Hecarim,1,0,0%,-,0,1,0%,0.8,28:12:00,7.9,241,-,0
 Kayle,1,0,0%,-,1,0,100%,8,29:02:00,9.3,333,-,0
 Tristana,1,0,0%,-,1,0,100%,4,31:25:00,9.9,401,-,0
 Xin Zhao,1,0,0%,-,0,1,0%,2,23:54,3.8,323,-,0
 Shen,0,1,0%,7,,,,,0:00,,,,0
 KogMaw,1,0,0%,-,0,1,0%,0.3,32:47:00,9.9,623,0,0
 Twisted Fate,1,0,0%,-,1,0,100%,10,32:42:00,8.2,397,-,0
 Udyr,0,0,0%,-,,,,,0:00,,,,0
 Annie,0,0,0%,-,,,,,0:00,,,,0
 Nami,0,0,0%,-,,,,,0:00,,,,0
 Skarner,0,0,0%,-,,,,,0:00,,,,0
 VelKoz,0,0,0%,-,,,,,0:00,,,,0
 Heimerdinger,0,0,0%,-,,,,,0:00,,,,0
 Veigar,0,0,0%,-,,,,,0:00,,,,0
 Chogath,0,0,0%,-,,,,,0:00,,,,0
 Rammus,0,0,0%,-,,,,,0:00,,,,0
 Soraka,0,0,0%,-,,,,,0:00,,,,0
 Ivern,0,0,0%,-,,,,,0:00,,,,0
 Katarina,0,0,0%,-,,,,,0:00,,,,0
 Warwick,0,0,0%,-,,,,,0:00,,,,0
 Dr. Mundo,0,0,0%,-,,,,,0:00,,,,0
 Riven,0,0,0%,-,,,,,0:00,,,,0
 Teemo,0,0,0%,-,,,,,0:00,,,,0
 Ahri,0,0,0%,-,,,,,0:00,,,,0
 Lux,0,0,0%,-,,,,,0:00,,,,0
 Shyvana,0,0,0%,-,,,,,0:00,,,,0
 Yorick,0,0,0%,-,,,,,0:00,,,,0
 Fiddlesticks,0,0,0%,-,,,,,0:00,,,,0
 Twitch,0,0,0%,-,,,,,0:00,,,,0
 Anivia,0,0,0%,-,,,,,0:00,,,,0
 Master Yi,0,0,0%,-,,,,,0:00,,,,0
 Sion,0,0,0%,-,,,,,0:00,,,,0
 Zyra,0,0,0%,-,,,,,0:00,,,,0
 Garen,0,0,0%,-,,,,,0:00,,,,0
 Urgot,0,0,0%,-,,,,,0:00,,,,0
 Brand,0,0,0%,-,,,,,0:00,,,,0
 Nasus,0,0,0%,-,,,,,0:00,,,,0
 Sona,0,0,0%,-,,,,,0:00,,,,0
 Illaoi,0,0,0%,-,,,,,0:00,,,,0
 Jinx,0,0,0%,-,,,,,0:00,,,,0
 Vi,0,0,0%,-,,,,,0:00,,,,0
 Darius,0,0,0%,-,,,,,0:00,,,,0
 Rengar,0,0,0%,-,,,,,0:00,,,,0
 Swain,0,0,0%,-,,,,,0:00,,,,0
 Kayn,0,0,0%,-,,,,,0:00,,,,0
 KhaZix,0,0,0%,-,,,,,0:00,,,,0
 Xerath,0,0,0%,-,,,,,0:00,,,,0
 Evelynn,0,0,0%,-,,,,,0:00,,,,0
 Shaco,0,0,0%,-,,,,,0:00,,,,0
 Tryndamere,0,0,0%,-,,,,,0:00,,,,0
 Amumu,0,0,0%,-,,,,,0:00,,,,0
 Malzahar,0,0,0%,-,,,,,0:00,,,,0
 Singed,0,0,0%,-,,,,,0:00,,,,0
 Zed,0,0,0%,-,,,,,0:00,,,,0
 Fizz,0,0,0%,-,,,,,0:00,,,,0
