Champion,Picks_x,Bans_x,Presence_x,Avg BT_x,Wins_x,Losses_x,Winrate_x,KDA_x,GT_x,CSM_x,DPM_x,CSD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Avg BT_y,Wins_y,Losses_y,Winrate_y,KDA_y,GT_y,CSM_y,DPM_y,CSD@15_y,True Presence_y,Picks_x,Bans_x,Presence_x,Avg BT_x,Wins_x,Losses_x,Winrate_x,KDA_x,GT_x,CSM_x,DPM_x,CSD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Avg BT_y,Wins_y,Losses_y,Winrate_y,KDA_y,GT_y,CSM_y,DPM_y,CSD@15_y,True Presence_y
 Orianna,10,3,6,9,3.0,7.0,30.0,3.6,35:03:00,8.8,362.0,7.5,5.829596412556054,21,11,34,9.1,11.0,10.0,52.0,5,37:06:00,8.9,507.0,6.5,34.04255319148936,12,4,5,6.3,6.0,6.0,50.0,3.8,32:02:00,8.1,566.0,-,4.848484848484849,3,1,4,10,0.0,3.0,0.0,1.8,28:59:00,8.1,405.0,12.7,4.444444444444445
 Camille,8,5,6,8.6,3.0,5.0,38.0,2.3,32:36:00,8.6,388.0,-7.5,5.829596412556054,7,5,13,8.8,3.0,4.0,43.0,2.1,34:17:00,8.5,383.0,-7.9,12.76595744680851,10,6,5,9.5,3.0,7.0,30.0,2.0,33:50:00,8.4,390.0,-,4.848484848484849,5,4,10,9,2.0,3.0,40.0,5.1,33:34:00,9.0,328.0,-4.2,10.0
 Maokai,7,5,5,8.4,2.0,5.0,29.0,1.4,28:47:00,7.3,375.0,-8.4,5.381165919282512,1,0,1,-,0.0,1.0,0.0,0.3,30:05:00,7.6,271.0,-23.0,1.0638297872340425,34,7,12,6.9,15.0,19.0,44.0,2.5,32:21:00,6.2,453.0,-,12.424242424242424,4,1,6,10,3.0,1.0,75.0,5.8,32:19:00,6.4,364.0,-21.8,5.555555555555555
 Yasuo,2,10,5,8,1.0,1.0,50.0,3.3,34:58:00,8.7,200.0,-7.0,5.381165919282512,4,3,7,8.7,2.0,2.0,50.0,1.8,29:29:00,8.0,339.0,5.5,7.446808510638298,1,3,1,9,1.0,0.0,100.0,7.5,25:51:00,7.6,358.0,-,1.2121212121212122,4,15,21,7.7,1.0,3.0,25.0,1.4,31:47:00,8.6,266.0,-11.0,21.11111111111111
 Karthus,6,6,5,7.3,2.0,4.0,33.0,1.9,33:04:00,7.1,490.0,11.0,5.381165919282512,1,2,3,5.5,0.0,1.0,0.0,0.5,32:04:00,6.8,345.0,45.0,3.1914893617021276,1,1,1,6,1.0,0.0,100.0,4.7,41:37:00,6.9,760.0,-,0.6060606060606061,10,24,38,3.7,7.0,3.0,70.0,6,34:50:00,6.8,518.0,17.4,37.77777777777778
 Quinn,3,8,5,8.5,1.0,2.0,33.0,1.7,33:34:00,9.5,470.0,20.3,4.932735426008969,1,0,1,-,1.0,0.0,100.0,4.7,30:55:00,8.5,771.0,22.0,1.0638297872340425,2,6,2,7.7,1.0,1.0,50.0,1.9,28:04:00,8.4,601.0,-,2.4242424242424243,1,0,1,-,0.0,1.0,0.0,0.8,25:15:00,4.2,436.0,-29.0,1.1111111111111112
 Diana,6,4,4,4.5,3.0,3.0,50.0,2.9,33:03:00,6.7,299.0,4.2,4.484304932735426,4,1,5,9,1.0,3.0,25.0,1,35:59:00,8.0,210.0,-14.0,5.319148936170213,10,7,5,8,5.0,5.0,50.0,2.7,31:48:00,8.1,367.0,-,5.151515151515151,7,9,18,8.1,4.0,3.0,57.0,2.6,32:33:00,8.2,357.0,1.9,17.77777777777778
 Ryze,6,4,4,9,3.0,3.0,50.0,4.4,33:31:00,9.7,519.0,18.5,4.484304932735426,6,2,9,7,2.0,4.0,33.0,2.9,33:57:00,10.4,460.0,5.8,8.51063829787234,6,7,4,6.9,3.0,3.0,50.0,3.6,37:04:00,9.0,579.0,-,3.939393939393939,10,6,18,9.2,3.0,7.0,30.0,1.4,32:47:00,10.2,409.0,2.7,17.77777777777778
 Corki,5,4,4,6.3,2.0,3.0,40.0,3.1,32:04:00,10.1,571.0,7.4,4.0358744394618835,4,4,9,9,1.0,3.0,25.0,3,31:11:00,9.5,606.0,-3.5,8.51063829787234,38,9,14,9.1,23.0,15.0,61.0,5.3,32:31:00,9.2,653.0,0,14.242424242424242,8,3,12,8.3,5.0,3.0,63.0,5.8,35:17:00,10.0,656.0,5.2,12.222222222222221
 Ashe,5,3,4,7.7,2.0,3.0,40.0,2.3,34:36:00,9.4,553.0,0.8,3.587443946188341,6,0,6,-,2.0,4.0,33.0,3.7,39:10:00,9.8,564.0,-7.5,6.382978723404255,2,0,1,-,1.0,1.0,50.0,5.0,36:56:00,9.7,336.0,-,0.6060606060606061,0,0,0,-,,,,,0:00,,,,0.0
 Pyke,6,2,4,8,3.0,3.0,50.0,3.2,33:16:00,1.6,140.0,2.2,3.587443946188341,1,0,1,-,1.0,0.0,100.0,6.5,29:51:00,1.7,215.0,0.0,1.0638297872340425,4,0,1,-,1.0,3.0,25.0,2.4,32:35:00,1.8,218.0,0,1.2121212121212122,2,1,3,10,0.0,2.0,0.0,1.7,35:13:00,1.1,83.0,9.0,3.3333333333333335
 Bard,7,1,4,10,4.0,3.0,57.0,6.1,35:55:00,1.0,172.0,-5.1,3.587443946188341,1,0,1,-,1.0,0.0,100.0,15,34:31:00,1.3,258.0,0.0,1.0638297872340425,17,13,9,7.3,5.0,12.0,29.0,4.0,35:37:00,1.3,238.0,0,9.090909090909092,3,1,4,10,3.0,0.0,100.0,8.2,26:37:00,2.9,271.0,-8.0,4.444444444444445
 Nocturne,3,5,4,8.8,3.0,0.0,100.0,4.8,34:37:00,6.4,225.0,18.0,3.587443946188341,0,0,0,-,,,,,0:00,,,,0.0,4,2,2,8.5,1.0,3.0,25.0,1.8,32:48:00,6.9,222.0,-,1.8181818181818181,2,0,2,-,0.0,2.0,0.0,0.8,21:02,5.2,276.0,-27.5,2.2222222222222223
 Shen,4,3,3,8.7,2.0,2.0,50.0,3.3,33:07:00,3.1,128.0,2.0,3.1390134529147984,3,0,3,-,1.0,2.0,33.0,1.6,29:29:00,3.0,180.0,-4.3,3.1914893617021276,0,1,0,7,,,,,0:00,,,,0.30303030303030304,1,0,1,-,0.0,1.0,0.0,1.1,41:50:00,5.7,338.0,-40.0,1.1111111111111112
 Caitlyn,6,1,3,7,3.0,3.0,50.0,3.7,37:08:00,10.2,600.0,9.7,3.1390134529147984,0,0,0,-,,,,,0:00,,,,0.0,7,4,3,9.8,5.0,2.0,71.0,6.7,34:59:00,10.6,576.0,-,3.3333333333333335,0,0,0,-,,,,,0:00,,,,0.0
 Ziggs,6,1,3,6,1.0,5.0,17.0,2.0,33:30:00,9.7,746.0,17.5,3.1390134529147984,2,0,2,-,1.0,1.0,50.0,5,30:57:00,4.4,469.0,-16.5,2.127659574468085,1,0,0,-,1.0,0.0,100.0,11.0,30:25:00,8.7,563.0,-,0.30303030303030304,3,1,4,5,1.0,2.0,33.0,3.3,29:54:00,8.3,729.0,-3.7,4.444444444444445
 Kayle,4,2,3,7,3.0,1.0,75.0,5.9,38:11:00,9.9,633.0,1.5,2.690582959641256,3,2,5,6.5,0.0,3.0,0.0,1.3,32:29:00,9.0,440.0,11.7,5.319148936170213,1,0,0,-,1.0,0.0,100.0,8.0,29:02:00,9.3,333.0,-,0.30303030303030304,0,1,1,7,,,,,0:00,,,,1.1111111111111112
 Lissandra,3,2,2,9.5,1.0,2.0,33.0,2.3,34:18:00,7.9,447.0,-4.7,2.242152466367713,0,1,1,7,,,,,0:00,,,,1.0638297872340425,23,12,11,9.2,13.0,10.0,57.0,3.2,33:41:00,8.0,432.0,-,10.606060606060606,2,2,4,9,1.0,1.0,50.0,2.8,36:44:00,9.0,392.0,3.5,4.444444444444445
 VelKoz,3,2,2,9.5,3.0,0.0,100.0,11.3,34:22:00,7.8,554.0,5.3,2.242152466367713,1,0,1,-,0.0,1.0,0.0,1.5,33:34:00,8.1,333.0,-3.0,1.0638297872340425,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,1.0,0.0,100.0,4,50:49:00,8.1,675.0,-2.0,1.1111111111111112
 Nidalee,2,2,2,9,1.0,1.0,50.0,4.0,33:49:00,6.9,338.0,15.5,1.7937219730941705,0,0,0,-,,,,,0:00,,,,0.0,10,9,6,7.8,5.0,5.0,50.0,2.8,26:49:00,7.0,316.0,-,5.757575757575758,1,0,1,-,1.0,0.0,100.0,-,37:43:00,6.2,605.0,35.0,1.1111111111111112
 Sivir,1,3,2,8.3,0.0,1.0,0.0,0.7,28:13:00,8.6,270.0,-33.0,1.7937219730941705,0,1,1,9,,,,,0:00,,,,1.0638297872340425,1,1,1,9,0.0,1.0,0.0,1.0,33:32:00,9.6,429.0,-,0.6060606060606061,0,0,0,-,,,,,0:00,,,,0.0
 Lulu,4,0,2,-,2.0,2.0,50.0,7.8,35:31:00,0.9,83.0,-0.5,1.7937219730941705,0,0,0,-,,,,,0:00,,,,0.0,1,0,0,-,0.0,1.0,0.0,2.0,32:47:00,0.9,92.0,0,0.30303030303030304,1,0,1,-,1.0,0.0,100.0,11,36:24:00,7.8,343.0,1.0,1.1111111111111112
 Poppy,2,2,2,8,0.0,2.0,0.0,0.6,34:56:00,5.1,246.0,-17.5,1.7937219730941705,0,0,0,-,,,,,0:00,,,,0.0,5,4,3,1.8,3.0,2.0,60.0,1.9,33:40:00,6.5,314.0,-,2.727272727272727,1,0,1,-,0.0,1.0,0.0,2,45:55:00,8.0,397.0,-31.0,1.1111111111111112
 Sion,3,0,1,-,2.0,1.0,67.0,2.6,29:05:00,6.5,341.0,-26.3,1.345291479820628,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,2,0,2,-,1.0,1.0,50.0,2.4,39:51:00,8.5,425.0,18.0,2.2222222222222223
 Kled,1,2,1,9,0.0,1.0,0.0,1.0,31:01:00,8.1,226.0,-30.0,1.345291479820628,0,0,0,-,,,,,0:00,,,,0.0,5,5,3,7.4,4.0,1.0,80.0,5.7,26:14:00,8.5,373.0,-,3.0303030303030303,2,2,4,9.5,1.0,1.0,50.0,3,33:30:00,7.4,500.0,6.5,4.444444444444445
 Neeko,3,0,1,-,2.0,1.0,67.0,6.3,27:45:00,9.5,380.0,6.3,1.345291479820628,1,0,1,-,0.0,1.0,0.0,0.7,26:57:00,7.9,338.0,-17.0,1.0638297872340425,21,10,9,7.5,9.0,12.0,43.0,2.5,30:04:00,7.4,489.0,-,9.393939393939393,1,0,1,-,1.0,0.0,100.0,3.8,22:02,7.9,612.0,53.0,1.1111111111111112
 Vayne,3,0,1,-,1.0,2.0,33.0,5.0,32:26:00,8.6,367.0,-14.7,1.345291479820628,0,0,0,-,,,,,0:00,,,,0.0,3,3,2,6.7,2.0,1.0,67.0,3.0,26:32:00,8.6,626.0,-,1.8181818181818181,1,0,1,-,0.0,1.0,0.0,0.6,29:39:00,7.9,440.0,16.0,1.1111111111111112
 Vladimir,2,0,1,-,1.0,1.0,50.0,1.3,34:29:00,9.1,450.0,-7.0,0.8968609865470852,2,3,5,7.3,2.0,0.0,100.0,14,26:14:00,8.9,425.0,15.0,5.319148936170213,9,3,4,9,3.0,6.0,33.0,2.8,32:41:00,8.8,580.0,-,3.6363636363636362,6,6,13,9,4.0,2.0,67.0,5,32:52:00,9.1,574.0,0.2,13.333333333333334
 KogMaw,1,1,1,5,0.0,1.0,0.0,2.2,54:36:00,10.1,1219.0,5.0,0.8968609865470852,0,0,0,-,,,,,0:00,,,,0.0,1,0,0,-,0.0,1.0,0.0,0.3,32:47:00,9.9,623.0,0,0.30303030303030304,0,0,0,-,,,,,0:00,,,,0.0
 Tristana,2,0,1,-,2.0,0.0,100.0,9.0,37:12:00,9.5,266.0,-4.5,0.8968609865470852,1,0,1,-,1.0,0.0,100.0,-,32:20:00,10.6,457.0,-2.0,1.0638297872340425,1,0,0,-,1.0,0.0,100.0,4.0,31:25:00,9.9,401.0,-,0.30303030303030304,5,3,9,8.7,5.0,0.0,100.0,14.5,34:16:00,9.4,638.0,3.2,8.88888888888889
 Brand,2,0,1,-,0.0,2.0,0.0,1.2,27:08:00,0.7,389.0,-4.0,0.8968609865470852,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Tryndamere,1,1,1,10,0.0,1.0,0.0,0.0,24:17:00,10.5,141.0,8.0,0.8968609865470852,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,1,1,6,,,,,0:00,,,,1.1111111111111112
 Zac,1,1,1,7,0.0,1.0,0.0,0.7,36:12:00,5.4,123.0,-8.0,0.8968609865470852,3,0,3,-,0.0,3.0,0.0,0.6,32:18:00,5.8,278.0,-27.0,3.1914893617021276,2,0,1,-,2.0,0.0,100.0,10.0,40:51:00,5.1,327.0,-,0.6060606060606061,6,0,7,-,4.0,2.0,67.0,3.9,33:31:00,4.5,263.0,-6.8,6.666666666666667
 Graves,2,0,1,-,1.0,1.0,50.0,10.0,30:51:00,8.4,431.0,19.0,0.8968609865470852,0,0,0,-,,,,,0:00,,,,0.0,6,4,3,8,3.0,3.0,50.0,5.4,28:52:00,7.2,324.0,-,3.0303030303030303,1,0,1,-,0.0,1.0,0.0,1.6,41:50:00,9.7,738.0,45.0,1.1111111111111112
 Janna,1,1,1,10,0.0,1.0,0.0,2.0,28:01:00,0.6,160.0,-11.0,0.8968609865470852,1,1,2,3,1.0,0.0,100.0,11,50:51:00,3.4,250.0,-58.0,2.127659574468085,7,0,2,-,3.0,4.0,43.0,3.9,31:35:00,2.1,284.0,-,2.1212121212121215,1,0,1,-,1.0,0.0,100.0,9,34:40:00,2.8,236.0,-60.0,1.1111111111111112
 Nami,2,0,1,-,0.0,2.0,0.0,0.6,30:49:00,0.8,102.0,-7.5,0.8968609865470852,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Lux,1,0,0,-,0.0,1.0,0.0,0.3,30:55:00,0.9,111.0,-10.0,0.4484304932735426,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Xin Zhao,1,0,0,-,0.0,1.0,0.0,0.8,34:01:00,4.5,278.0,-27.0,0.4484304932735426,0,0,0,-,,,,,0:00,,,,0.0,1,0,0,-,0.0,1.0,0.0,2.0,23:54,3.8,323.0,-,0.30303030303030304,0,0,0,-,,,,,0:00,,,,0.0
 Ivern,1,0,0,-,0.0,1.0,0.0,0.0,32:28:00,5.5,116.0,7.0,0.4484304932735426,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,1,1,9,,,,,0:00,,,,1.1111111111111112
 Malphite,0,1,0,10,,,,,0:00,,,,0.4484304932735426,0,0,0,-,,,,,0:00,,,,0.0,6,3,3,8.3,3.0,3.0,50.0,3.3,33:58:00,7.5,361.0,-,2.727272727272727,1,0,1,-,0.0,1.0,0.0,0.7,22:02,5.2,202.0,-53.0,1.1111111111111112
 Darius,1,0,0,-,0.0,1.0,0.0,1.0,24:47:00,7.1,239.0,3.0,0.4484304932735426,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Anivia,1,0,0,-,0.0,1.0,0.0,0.3,26:09:00,9.0,241.0,-17.0,0.4484304932735426,1,0,1,-,0.0,1.0,0.0,0.5,31:01:00,8.9,123.0,-7.0,1.0638297872340425,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Jax,1,0,0,-,0.0,1.0,0.0,0.8,40:07:00,8.6,385.0,-7.0,0.4484304932735426,0,0,0,-,,,,,0:00,,,,0.0,6,4,3,7.8,4.0,2.0,67.0,4.2,30:18:00,8.6,445.0,-,3.0303030303030303,1,2,3,9,1.0,0.0,100.0,15,27:37:00,8.7,629.0,23.0,3.3333333333333335
 Jinx,1,0,0,-,0.0,1.0,0.0,2.3,33:29:00,10.5,309.0,-15.0,0.4484304932735426,1,0,1,-,0.0,1.0,0.0,0,31:01:00,10.5,239.0,-4.0,1.0638297872340425,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Fiora,0,1,0,10,,,,,0:00,,,,0.4484304932735426,3,1,4,8,2.0,1.0,67.0,1.8,33:05:00,8.4,359.0,-14.3,4.25531914893617,6,10,5,7.8,5.0,1.0,83.0,4.5,29:49:00,8.7,521.0,-,4.848484848484849,0,0,0,-,,,,,0:00,,,,0.0
 Twitch,1,0,0,-,0.0,1.0,0.0,0.5,25:12:00,6.7,330.0,-41.0,0.4484304932735426,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Rammus,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Warwick,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Annie,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,0.0,1.0,0.0,1.3,25:15:00,2.1,456.0,-3.0,1.1111111111111112
 Talon,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,0,-,0.0,1.0,0.0,5.0,32:09:00,6.8,337.0,-,0.30303030303030304,0,0,0,-,,,,,0:00,,,,0.0
 Heimerdinger,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,1,1,3,,,,,0:00,,,,1.1111111111111112
 Riven,0,0,0,-,,,,,0:00,,,,0.0,1,10,12,3.6,1.0,0.0,100.0,-,38:32:00,9.3,511.0,21.0,11.702127659574469,0,0,0,-,,,,,0:00,,,,0.0,0,1,1,2,,,,,0:00,,,,1.1111111111111112
 Xerath,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Dr. Mundo,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Twisted Fate,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,0,-,1.0,0.0,100.0,10.0,32:42:00,8.2,397.0,-,0.30303030303030304,0,0,0,-,,,,,0:00,,,,0.0
 KhaZix,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Shyvana,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,1.0,0.0,100.0,-,25:15:00,7.1,748.0,12.0,1.1111111111111112
 Zed,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,1.0,0.0,100.0,2,25:15:00,5.9,509.0,16.0,1.1111111111111112
 Evelynn,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,0.0,1.0,0.0,3.4,41:50:00,4.9,1084.0,25.0,1.1111111111111112
 Master Yi,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Urgot,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,1.0,0.0,100.0,3,29:40:00,8.3,462.0,-2.0,1.1111111111111112
 Skarner,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Jhin,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,0,-,1.0,0.0,100.0,14.0,28:12:00,9.1,595.0,-,0.30303030303030304,1,0,1,-,0.0,1.0,0.0,8.5,41:50:00,9.8,727.0,-14.0,1.1111111111111112
 Fizz,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Nunu,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,0,-,0.0,1.0,0.0,0.5,32:56:00,4.6,159.0,-,0.30303030303030304,0,0,0,-,,,,,0:00,,,,0.0
 Vi,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Amumu,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Swain,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,2,0,2,-,1.0,1.0,50.0,3,33:55:00,3.3,468.0,-3.0,2.2222222222222223
 Kayn,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Hecarim,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,0,-,0.0,1.0,0.0,0.8,28:12:00,7.9,241.0,-,0.30303030303030304,0,0,0,-,,,,,0:00,,,,0.0
 Rengar,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,1.0,0.0,100.0,3.3,29:11:00,7.1,394.0,21.0,1.1111111111111112
 Wukong,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,45,48,28,5.5,20.0,25.0,44.0,3.1,31:56:00,7.2,379.0,-,28.18181818181818,0,0,0,-,,,,,0:00,,,,0.0
 Chogath,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,1.0,0.0,100.0,3.3,36:04:00,6.1,464.0,41.0,1.0638297872340425,0,0,0,-,,,,,0:00,,,,0.0,2,0,2,-,1.0,1.0,50.0,2.8,31:52:00,7.7,171.0,7.5,2.2222222222222223
 Teemo,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,0.0,1.0,0.0,0.7,25:15:00,8.0,795.0,37.0,1.1111111111111112
 Katarina,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Shaco,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Yorick,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Draven,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,0,-,0.0,1.0,0.0,1.2,28:29:00,9.3,344.0,-,0.30303030303030304,3,1,4,6,0.0,3.0,0.0,3.3,34:57:00,9.6,494.0,13.7,4.444444444444445
 Malzahar,0,0,0,-,,,,,0:00,,,,0.0,2,0,2,-,2.0,0.0,100.0,19,29:46:00,9.6,401.0,-10.0,2.127659574468085,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Udyr,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Singed,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,1.0,0.0,100.0,6,29:30:00,8.7,499.0,5.0,1.1111111111111112
 Zyra,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,1,1,10,,,,,0:00,,,,1.1111111111111112
 Fiddlesticks,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Nasus,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,1,1,7,,,,,0:00,,,,1.1111111111111112
 Veigar,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,1.0,0.0,100.0,-,24:34:00,8.3,446.0,-12.0,1.0638297872340425,0,0,0,-,,,,,0:00,,,,0.0,2,2,4,8,1.0,1.0,50.0,3.8,29:57:00,8.0,521.0,-7.0,4.444444444444445
 Ahri,0,0,0,-,,,,,0:00,,,,0.0,2,1,3,8,0.0,2.0,0.0,2.3,32:56:00,7.6,556.0,11.0,3.1914893617021276,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
 Sona,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,0.0,1.0,0.0,13,39:09:00,7.0,450.0,-29.0,1.0638297872340425,0,0,0,-,,,,,0:00,,,,0.0,1,0,1,-,0.0,1.0,0.0,1.3,29:33:00,3.1,417.0,-96.0,1.1111111111111112
 Aurelion Sol,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,3,4,2,6,2.0,1.0,67.0,13.0,31:32:00,7.5,524.0,-,2.1212121212121215,0,0,0,-,,,,,0:00,,,,0.0
 Garen,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0
