Champion,Picks_x,Bans_x,Presence_x,Avg BT_x,Wins_x,Losses_x,Winrate_x,KDA_x,GT_x,CSM_x,DPM_x,CSD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Avg BT_y,Wins_y,Losses_y,Winrate_y,KDA_y,GT_y,CSM_y,DPM_y,CSD@15_y,True Presence_y,Picks_x,Bans_x,Presence_x,Avg BT_x,Wins_x,Losses_x,Winrate_x,KDA_x,GT_x,CSM_x,DPM_x,CSD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Avg BT_y,Wins_y,Losses_y,Winrate_y,KDA_y,GT_y,CSM_y,DPM_y,CSD@15_y,True Presence_y
 Elise,38,74,50,4.1,19.0,19.0,50.0,3.0,34:13:00,5.2,279.0,-2.4,50.224215246636774,14,30,47,5.4,5.0,9.0,36.0,2.1,37:44:00,4.9,272.0,-2.5,46.808510638297875,67,171,72,4.3,32.0,35.0,48.0,3.4,32:47:00,5.1,305.0,-,72.12121212121212,13,8,23,6.5,5.0,8.0,38.0,2.5,33:18:00,4.8,266.0,-5.4,23.333333333333332
 Aatrox,75,33,48,7.8,35.0,40.0,47.0,2.3,32:42:00,8.1,361.0,2.5,48.4304932735426,52,23,80,6.3,22.0,30.0,42.0,2.5,34:10:00,8.1,368.0,7.3,79.7872340425532,124,30,47,7.2,64.0,60.0,52.0,2.9,32:16:00,7.7,396.0,0,46.666666666666664,33,25,64,7.4,19.0,14.0,58.0,4,34:56:00,7.9,382.0,5.6,64.44444444444444
 Trundle,59,42,45,5,36.0,23.0,61.0,4.6,33:42:00,4.9,154.0,-2.4,45.2914798206278,14,8,23,6.1,8.0,6.0,57.0,3.1,35:57:00,4.6,174.0,1.1,23.404255319148938,64,34,30,6.9,38.0,26.0,59.0,4.6,32:32:00,4.8,183.0,-,29.6969696969697,2,1,3,7,1.0,1.0,50.0,4,34:34:00,5.9,130.0,-4.5,3.3333333333333335
 Rumble,55,43,44,6.5,26.0,29.0,47.0,3.7,32:55:00,7.0,442.0,-4.3,43.946188340807176,14,50,68,3.8,8.0,6.0,57.0,4.4,36:14:00,7.0,589.0,-2.2,68.08510638297872,68,105,52,5.8,33.0,35.0,49.0,3.6,32:58:00,7.0,532.0,-,52.42424242424243,5,16,23,5.6,1.0,4.0,20.0,1.4,35:52:00,7.2,518.0,1.2,23.333333333333332
 Taric,64,32,43,6.5,33.0,31.0,52.0,3.6,32:29:00,1.1,76.0,2.5,43.04932735426009,4,3,7,5.7,2.0,2.0,50.0,5,32:32:00,1.2,75.0,4.8,7.446808510638298,49,32,25,6.1,26.0,23.0,53.0,3.9,31:18:00,1.2,98.0,0,24.545454545454547,5,4,10,8.8,4.0,1.0,80.0,5,30:35:00,1.6,130.0,-8.6,10.0
 Yuumi,36,60,43,4.6,14.0,22.0,39.0,5.2,33:50:00,0.5,291.0,-8.6,43.04932735426009,7,25,34,3.5,2.0,5.0,29.0,3.6,32:44:00,0.1,266.0,-19.9,34.04255319148936,13,21,10,5.5,7.0,6.0,54.0,8.4,33:31:00,0.3,372.0,0,10.303030303030303,6,18,27,4.8,4.0,2.0,67.0,6.9,35:29:00,0.3,254.0,-14.0,26.666666666666668
 Akali,26,59,38,4.2,15.0,11.0,58.0,3.3,34:03:00,8.4,387.0,4.7,38.11659192825112,1,30,33,2.4,0.0,1.0,0.0,-,26:57:00,6.9,242.0,-29.0,32.97872340425532,5,34,12,2.4,0.0,5.0,0.0,1.0,32:09:00,7.4,294.0,-,11.818181818181818,4,31,39,2.4,4.0,0.0,100.0,6.3,31:16:00,8.6,496.0,3.5,38.88888888888889
 Lucian,26,53,35,5,9.0,17.0,35.0,2.6,34:52:00,9.4,470.0,10.4,35.42600896860987,6,28,36,3.7,3.0,3.0,50.0,3.6,33:25:00,9.2,400.0,15.8,36.17021276595745,30,45,23,5.2,10.0,20.0,33.0,2.3,33:00:00,8.7,513.0,-,22.727272727272727,2,18,22,5.7,2.0,0.0,100.0,23,28:07:00,9.5,653.0,27.0,22.22222222222222
 Renekton,21,55,34,7.1,9.0,12.0,43.0,3.0,37:05:00,8.3,318.0,9.1,34.08071748878923,13,12,27,7.3,5.0,8.0,38.0,1.7,34:41:00,8.0,350.0,3.9,26.595744680851062,108,125,71,4.6,59.0,49.0,55.0,3.1,32:48:00,7.9,345.0,-,70.60606060606061,13,10,26,7.8,7.0,6.0,54.0,1.9,32:36:00,8.3,293.0,10.9,25.555555555555554
 Lee Sin,48,25,33,6.1,13.0,35.0,27.0,2.4,33:59:00,5.4,190.0,-4.1,32.73542600896861,41,15,60,6.9,22.0,19.0,54.0,3.1,34:25:00,4.9,190.0,-2.9,59.57446808510638,104,64,51,6.8,52.0,52.0,50.0,3.4,32:26:00,5.2,239.0,-,50.90909090909091,36,9,50,7.1,18.0,18.0,50.0,3.8,33:10:00,4.9,225.0,2.0,50.0
 RekSai,37,34,32,5.2,21.0,16.0,57.0,2.8,33:34:00,5.5,235.0,6.1,31.838565022421523,17,11,30,7.5,7.0,10.0,41.0,2.4,34:01:00,5.2,215.0,1.6,29.78723404255319,72,51,37,6.3,36.0,36.0,50.0,2.8,33:09:00,5.2,249.0,-,37.27272727272727,14,0,16,-,7.0,7.0,50.0,2.9,33:11:00,4.8,234.0,0.0,15.555555555555555
 Ezreal,54,16,31,6.9,25.0,29.0,46.0,3.5,32:57:00,9.9,600.0,-2.8,31.390134529147986,15,2,18,5,5.0,10.0,33.0,4.4,37:48:00,9.2,574.0,-8.6,18.085106382978726,22,3,8,8.7,9.0,13.0,41.0,3.0,33:20:00,9.3,775.0,-,7.575757575757576,20,8,31,5.8,10.0,10.0,50.0,5.4,34:38:00,9.9,645.0,3.6,31.11111111111111
 Syndra,34,35,31,6.6,14.0,20.0,41.0,3.3,35:06:00,8.7,451.0,8.5,30.94170403587444,30,43,78,5.2,22.0,8.0,73.0,5.2,35:06:00,8.8,519.0,7.2,77.6595744680851,48,41,27,5.9,28.0,20.0,58.0,3.7,32:17:00,8.4,580.0,-,26.969696969696972,10,61,79,4.4,7.0,3.0,70.0,3.9,34:26:00,9.1,529.0,8.8,78.88888888888889
 Tahm Kench,42,24,30,8,24.0,18.0,57.0,3.8,32:56:00,3.2,120.0,-6.2,29.596412556053814,42,28,74,4.3,18.0,24.0,43.0,2.9,34:46:00,1.1,110.0,0.5,74.46808510638297,58,33,28,7.5,32.0,26.0,55.0,3.0,32:37:00,2.7,146.0,0,27.575757575757574,16,9,28,7.6,8.0,8.0,50.0,2.6,32:44:00,1.2,122.0,-2.4,27.77777777777778
 Pantheon,19,46,29,4.5,11.0,8.0,58.0,2.5,32:10:00,7.3,267.0,-23.3,29.14798206278027,13,19,34,5.8,7.0,6.0,54.0,2.9,35:37:00,5.2,276.0,-11.2,34.04255319148936,25,89,35,4,11.0,14.0,44.0,2.6,32:05:00,6.4,353.0,-,34.54545454545455,15,44,66,4.5,6.0,9.0,40.0,3.7,29:57:00,6.4,344.0,-5.8,65.55555555555556
 Braum,47,16,28,8.5,25.0,22.0,53.0,3.4,36:06:00,1.0,115.0,0.7,28.251121076233183,25,8,35,7.6,12.0,13.0,48.0,3.9,36:25:00,1.0,130.0,2.0,35.1063829787234,96,34,39,8,49.0,47.0,51.0,3.6,31:55:00,1.1,136.0,0,39.39393939393939,37,13,56,8.1,17.0,20.0,46.0,3.6,34:53:00,1.0,126.0,1.1,55.55555555555556
 Thresh,36,27,28,8.3,17.0,19.0,47.0,3.4,34:04:00,1.0,90.0,1.8,28.251121076233183,22,9,33,8.4,10.0,12.0,45.0,2.8,33:53:00,1.0,89.0,0.0,32.97872340425532,85,119,62,5.9,48.0,37.0,56.0,3.8,33:12:00,1.1,128.0,0,61.81818181818181,20,25,50,7.6,15.0,5.0,75.0,4.3,32:37:00,1.1,120.0,1.5,50.0
 Gragas,35,28,28,5.5,18.0,17.0,51.0,4.3,37:22:00,5.3,301.0,-1.1,28.251121076233183,29,27,60,8.1,19.0,10.0,66.0,4.2,32:06:00,5.1,328.0,1.7,59.57446808510638,36,44,24,7.3,16.0,20.0,44.0,2.7,34:54:00,4.9,343.0,-,24.242424242424242,43,33,84,3.6,25.0,18.0,58.0,4.1,34:59:00,4.9,294.0,-2.2,84.44444444444444
 Sylas,31,29,27,5.9,15.0,16.0,48.0,3.1,33:12:00,7.1,395.0,-9.1,26.905829596412556,2,2,4,9,1.0,1.0,50.0,1.8,27:17:00,6.5,454.0,-10.5,4.25531914893617,56,45,31,7.3,24.0,32.0,43.0,2.6,32:49:00,7.1,419.0,0,30.606060606060602,4,3,8,9,2.0,2.0,50.0,2.2,33:13:00,6.4,407.0,-6.8,7.777777777777778
 Soraka,14,46,27,3.6,7.0,7.0,50.0,4.6,33:36:00,5.4,247.0,-24.1,26.905829596412556,3,21,26,3.7,2.0,1.0,67.0,6,32:26:00,5.6,327.0,-10.0,25.53191489361702,0,0,0,-,,,,,0:00,,,,0.0,6,24,33,3.6,5.0,1.0,83.0,6,33:36:00,5.4,261.0,-7.2,33.33333333333333
 Sejuani,39,8,21,8.6,21.0,18.0,54.0,5.4,32:41:00,5.3,225.0,0.7,21.076233183856502,22,16,40,8.6,9.0,13.0,41.0,3.1,32:37:00,4.9,184.0,-2.6,40.42553191489361,42,48,27,5,20.0,22.0,48.0,3.5,31:41:00,5.4,233.0,-,27.27272727272727,19,7,29,6.1,10.0,9.0,53.0,3.5,34:37:00,4.8,197.0,-7.6,28.888888888888886
 Mordekaiser,24,21,20,6.4,9.0,15.0,38.0,1.6,33:41:00,7.6,417.0,-15.2,20.179372197309416,12,10,23,5.6,5.0,7.0,42.0,1.4,35:05:00,7.5,362.0,-12.6,23.404255319148938,77,83,48,7.2,38.0,39.0,49.0,2.3,33:06:00,7.5,453.0,-,48.484848484848484,9,4,14,5.3,4.0,5.0,44.0,1.8,33:43:00,8.0,386.0,-1.6,14.444444444444443
 Irelia,12,33,20,6.4,5.0,7.0,42.0,1.9,36:47:00,8.7,407.0,11.4,20.179372197309416,4,12,17,4.1,3.0,1.0,75.0,2.8,33:25:00,8.7,394.0,-9.0,17.02127659574468,24,61,26,6.2,14.0,10.0,58.0,2.6,32:51:00,8.6,328.0,-,25.757575757575758,3,16,21,6.4,1.0,2.0,33.0,0.9,34:03:00,8.6,306.0,-2.0,21.11111111111111
 Kennen,27,16,19,8.3,15.0,12.0,56.0,2.1,33:30:00,8.0,426.0,4.2,19.282511210762333,4,1,5,9,1.0,3.0,25.0,1.4,32:24:00,8.3,424.0,5.0,5.319148936170213,15,8,7,8.6,9.0,6.0,60.0,2.2,30:19:00,7.1,446.0,-,6.969696969696971,1,1,2,7,0.0,1.0,0.0,0.5,26:01:00,6.0,467.0,-27.0,2.2222222222222223
 Rakan,28,7,16,8.3,13.0,15.0,46.0,3.2,34:40:00,1.1,122.0,-0.4,15.695067264573993,23,5,30,6.2,15.0,8.0,65.0,6.7,33:51:00,1.3,125.0,2.4,29.78723404255319,34,7,12,7.1,20.0,14.0,59.0,3.4,32:33:00,1.1,129.0,-,12.424242424242424,28,31,66,4.6,14.0,14.0,50.0,3.8,33:15:00,1.1,133.0,-1.6,65.55555555555556
 Jayce,21,14,16,5.8,12.0,9.0,57.0,3.4,31:32:00,8.8,633.0,10.2,15.695067264573993,2,0,2,-,1.0,1.0,50.0,6,31:44:00,8.7,825.0,12.5,2.127659574468085,13,5,5,8,4.0,9.0,31.0,2.1,30:37:00,8.0,619.0,-,5.454545454545454,2,2,4,8.5,1.0,1.0,50.0,4.3,37:01:00,8.1,593.0,-28.0,4.444444444444445
