Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15
 Sejuani,42,48,27%,5,20,22,48%,3.5,31:41:00,5.4,233,-
 Syndra,48,41,27%,5.9,28,20,58%,3.7,32:17:00,8.4,580,-
 Irelia,24,61,26%,6.2,14,10,58%,2.6,32:51:00,8.6,328,-
 Taric,49,32,25%,6.1,26,23,53%,3.9,31:18:00,1.2,98,0
 Gragas,36,44,24%,7.3,16,20,44%,2.7,34:54:00,4.9,343,-
 Lucian,30,45,23%,5.2,10,20,33%,2.3,33:00:00,8.7,513,-
 Qiyana,29,39,21%,6.2,11,18,38%,2.5,31:45:00,6.4,367,-
 Corki,38,9,14%,9.1,23,15,61%,5.3,32:31:00,9.2,653,0
 Kaisa,36,8,13%,8.4,13,23,36%,4,31:39:00,9.3,473,0
 Rakan,34,7,12%,7.1,20,14,59%,3.4,32:33:00,1.1,129,-
 Maokai,34,7,12%,6.9,15,19,44%,2.5,32:21:00,6.2,453,-
 Akali,5,34,12%,2.4,0,5,0%,1,32:09:00,7.4,294,-
 Lissandra,23,12,11%,9.2,13,10,57%,3.2,33:41:00,8,432,-
 Gangplank,14,21,11%,7.8,5,9,36%,2.6,34:54:00,8.9,611,-
 Yuumi,13,21,10%,5.5,7,6,54%,8.4,33:31:00,0.3,372,0
 Neeko,21,10,9%,7.5,9,12,43%,2.5,30:04:00,7.4,489,-
 Bard,17,13,9%,7.3,5,12,29%,4,35:37:00,1.3,238,0
 Ekko,23,7,9%,7.7,11,12,48%,4.7,31:07:00,7.1,417,-
 Kindred,17,12,9%,5,10,7,59%,4,32:42:00,6.4,369,-
 Galio,19,9,8%,9,12,7,63%,5.3,32:49:00,7.3,457,0
 Blitzcrank,13,14,8%,8.1,6,7,46%,3.3,32:16:00,1,163,0
 Cassiopeia,16,11,8%,6.5,7,9,44%,3.3,33:59:00,8,448,0
 Ezreal,22,3,8%,8.7,9,13,41%,3,33:20:00,9.3,775,-
 Kennen,15,8,7%,8.6,9,6,60%,2.2,30:19:00,7.1,446,-
 Nidalee,10,9,6%,7.8,5,5,50%,2.8,26:49:00,7,316,-
 Morgana,7,11,5%,8.5,3,4,43%,2.6,36:00:00,0.9,157,0
 Jayce,13,5,5%,8,4,9,31%,2.1,30:37:00,8,619,-
 Diana,10,7,5%,8,5,5,50%,2.7,31:48:00,8.1,367,-
 Taliyah,10,7,5%,7.9,4,6,40%,3.4,31:01:00,6.6,456,-
 Orianna,12,4,5%,6.3,6,6,50%,3.8,32:02:00,8.1,566,-
 Fiora,6,10,5%,7.8,5,1,83%,4.5,29:49:00,8.7,521,-
 Camille,10,6,5%,9.5,3,7,30%,2,33:50:00,8.4,390,-
 Ryze,6,7,4%,6.9,3,3,50%,3.6,37:04:00,9,579,-
 Vladimir,9,3,4%,9,3,6,33%,2.8,32:41:00,8.8,580,-
 Karma,7,4,3%,4,3,4,43%,3.3,30:19:00,4.4,302,0
 Alistar,10,1,3%,9,4,6,40%,2.6,33:25:00,1,122,-
 Caitlyn,7,4,3%,9.8,5,2,71%,6.7,34:59:00,10.6,576,-
 Graves,6,4,3%,8,3,3,50%,5.4,28:52:00,7.2,324,-
 Kled,5,5,3%,7.4,4,1,80%,5.7,26:14:00,8.5,373,-
 Xayah,7,3,3%,8.7,2,5,29%,2.8,35:06:00,9.8,431,-
 Jax,6,4,3%,7.8,4,2,67%,4.2,30:18:00,8.6,445,-
 Poppy,5,4,3%,1.8,3,2,60%,1.9,33:40:00,6.5,314,-
 Malphite,6,3,3%,8.3,3,3,50%,3.3,33:58:00,7.5,361,-
 Quinn,2,6,2%,7.7,1,1,50%,1.9,28:04:00,8.4,601,-
 Zilean,4,3,2%,6.3,2,2,50%,4,33:15:00,8,504,-
 Aurelion Sol,3,4,2%,6,2,1,67%,13,31:32:00,7.5,524,-
