Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15
 Lissandra,2,2,4%,9,1,1,50%,2.8,36:44:00,9,392,3.5
 Bard,3,1,4%,10,3,0,100%,8.2,26:37:00,2.9,271,-8
 Ziggs,3,1,4%,5,1,2,33%,3.3,29:54:00,8.3,729,-3.7
 Pyke,2,1,3%,10,0,2,0%,1.7,35:13:00,1.1,83,9
 Trundle,2,1,3%,7,1,1,50%,4,34:34:00,5.9,130,-4.5
 Jax,1,2,3%,9,1,0,100%,15,27:37:00,8.7,629,23
 Morgana,1,2,3%,7.5,0,1,0%,3.5,40:41:00,6.1,260,-32
 Karma,2,1,3%,9,0,2,0%,1,35:29:00,3.7,273,7
 Sion,2,0,2%,-,1,1,50%,2.4,39:51:00,8.5,425,18
 Nocturne,2,0,2%,-,0,2,0%,0.8,21:02,5.2,276,-27.5
 Kennen,1,1,2%,7,0,1,0%,0.5,26:01:00,6,467,-27
 Chogath,2,0,2%,-,1,1,50%,2.8,31:52:00,7.7,171,7.5
 Swain,2,0,2%,-,1,1,50%,3,33:55:00,3.3,468,-3
 Illaoi,0,1,1%,9,,,,,0:00,,,
 Shyvana,1,0,1%,-,1,0,100%,-,25:15:00,7.1,748,12
 Jhin,1,0,1%,-,0,1,0%,8.5,41:50:00,9.8,727,-14
 Annie,1,0,1%,-,0,1,0%,1.3,25:15:00,2.1,456,-3
 Quinn,1,0,1%,-,0,1,0%,0.8,25:15:00,4.2,436,-29
 Kayle,0,1,1%,7,,,,,0:00,,,
 Rengar,1,0,1%,-,1,0,100%,3.3,29:11:00,7.1,394,21
 VelKoz,1,0,1%,-,1,0,100%,4,50:49:00,8.1,675,-2
 Zed,1,0,1%,-,1,0,100%,2,25:15:00,5.9,509,16
 Riven,0,1,1%,2,,,,,0:00,,,
 Graves,1,0,1%,-,0,1,0%,1.6,41:50:00,9.7,738,45
 Malphite,1,0,1%,-,0,1,0%,0.7,22:02,5.2,202,-53
 Zyra,0,1,1%,10,,,,,0:00,,,
 Shen,1,0,1%,-,0,1,0%,1.1,41:50:00,5.7,338,-40
 Kindred,1,0,1%,-,1,0,100%,4.5,31:34:00,6.5,400,12
 Janna,1,0,1%,-,1,0,100%,9,34:40:00,2.8,236,-60
 Poppy,1,0,1%,-,0,1,0%,2,45:55:00,8,397,-31
 Teemo,1,0,1%,-,0,1,0%,0.7,25:15:00,8,795,37
 Ivern,0,1,1%,9,,,,,0:00,,,
 Evelynn,1,0,1%,-,0,1,0%,3.4,41:50:00,4.9,1084,25
 Singed,1,0,1%,-,1,0,100%,6,29:30:00,8.7,499,5
 Heimerdinger,0,1,1%,3,,,,,0:00,,,
 Neeko,1,0,1%,-,1,0,100%,3.8,22:02,7.9,612,53
 Nidalee,1,0,1%,-,1,0,100%,-,37:43:00,6.2,605,35
 Sona,1,0,1%,-,0,1,0%,1.3,29:33:00,3.1,417,-96
 Nasus,0,1,1%,7,,,,,0:00,,,
 Urgot,1,0,1%,-,1,0,100%,3,29:40:00,8.3,462,-2
 Lulu,1,0,1%,-,1,0,100%,11,36:24:00,7.8,343,1
 Tryndamere,0,1,1%,6,,,,,0:00,,,
 Kassadin,1,0,1%,-,0,1,0%,1.3,33:35:00,8,398,3
 Vayne,1,0,1%,-,0,1,0%,0.6,29:39:00,7.9,440,16
 Udyr,0,0,0%,-,,,,,0:00,,,
 Jinx,0,0,0%,-,,,,,0:00,,,
 Aurelion Sol,0,0,0%,-,,,,,0:00,,,
 Darius,0,0,0%,-,,,,,0:00,,,
 Rammus,0,0,0%,-,,,,,0:00,,,
 Volibear,0,0,0%,-,,,,,0:00,,,
 Ahri,0,0,0%,-,,,,,0:00,,,
 KhaZix,0,0,0%,-,,,,,0:00,,,
 Fiddlesticks,0,0,0%,-,,,,,0:00,,,
 Sivir,0,0,0%,-,,,,,0:00,,,
 Wukong,0,0,0%,-,,,,,0:00,,,
 Amumu,0,0,0%,-,,,,,0:00,,,
 Lux,0,0,0%,-,,,,,0:00,,,
 Fizz,0,0,0%,-,,,,,0:00,,,
 Talon,0,0,0%,-,,,,,0:00,,,
 Xin Zhao,0,0,0%,-,,,,,0:00,,,
 Ashe,0,0,0%,-,,,,,0:00,,,
 Master Yi,0,0,0%,-,,,,,0:00,,,
 Twitch,0,0,0%,-,,,,,0:00,,,
 Hecarim,0,0,0%,-,,,,,0:00,,,
 Zilean,0,0,0%,-,,,,,0:00,,,
 Caitlyn,0,0,0%,-,,,,,0:00,,,
 Nunu,0,0,0%,-,,,,,0:00,,,
 Vi,0,0,0%,-,,,,,0:00,,,
 Katarina,0,0,0%,-,,,,,0:00,,,
 Kayn,0,0,0%,-,,,,,0:00,,,
 Dr. Mundo,0,0,0%,-,,,,,0:00,,,
 Shaco,0,0,0%,-,,,,,0:00,,,
 Warwick,0,0,0%,-,,,,,0:00,,,
 Alistar,0,0,0%,-,,,,,0:00,,,
 KogMaw,0,0,0%,-,,,,,0:00,,,
 Fiora,0,0,0%,-,,,,,0:00,,,
 Skarner,0,0,0%,-,,,,,0:00,,,
 Xerath,0,0,0%,-,,,,,0:00,,,
 Anivia,0,0,0%,-,,,,,0:00,,,
 Malzahar,0,0,0%,-,,,,,0:00,,,
 Garen,0,0,0%,-,,,,,0:00,,,
 Twisted Fate,0,0,0%,-,,,,,0:00,,,
 Yorick,0,0,0%,-,,,,,0:00,,,
 Brand,0,0,0%,-,,,,,0:00,,,
 Nami,0,0,0%,-,,,,,0:00,,,
